year,e0_med,e0_lo95,e0_hi95,e0_lo80,e0_hi80
2024,65.92772069442452,65.64885634877517,66.2107099009628,65.75055414477589,66.11245703696513
2025,66.17192872053603,65.814881369993,66.53002532997247,65.93962474643193,66.40362480711943
2026,66.40407119733194,65.99772389407806,66.83585677035433,66.14362808666733,66.67442336596223
2027,66.64444747552966,66.19172886866819,67.11065005947898,66.3445810439566,66.94482817084298
2028,66.87811582194445,66.37665109358879,67.38679471742927,66.54248189944613,67.20810122067537
2029,67.10384619983009,66.5611039207557,67.6552186331373,66.7466427292324,67.45794351027092
2030,67.33051167218562,66.73662183209602,67.9223033387753,66.9417393436617,67.71792132963539
2031,67.54822939297206,66.94350761291324,68.17662406543539,67.14820564916006,67.95716734589442
2032,67.7635613850914,67.12253560169886,68.42669753990987,67.34682468551956,68.20288525930086
2033,67.98382900348165,67.3018726850276,68.6950841985441,67.53917401591569,68.43792033207986
2034,68.20284935788445,67.50036355233517,68.93249285882186,67.73928737906444,68.66460996953516
2035,68.40514542511505,67.67752639564175,69.1650791012073,67.93927333991999,68.89794755871667
2036,68.6216280829089,67.85646001535534,69.37754573127296,68.12833795293068,69.09985885674284
2037,68.82673426633171,68.03836433531016,69.62600292181203,68.31455324500746,69.32997574532645
2038,69.03752842780418,68.22656586499839,69.82117426660648,68.50438838423085,69.55659592181568
2039,69.2383655124924,68.42394048598808,70.0514834886503,68.69846682058328,69.76957811938239
2040,69.43082644143831,68.59027020193483,70.26621933635306,68.89523915931082,69.97905484146203
2041,69.62469230241737,68.76332477089272,70.46817020802598,69.05849104354154,70.1846458864828
2042,69.8232707901733,68.95080401244539,70.6917524215232,69.23571236267668,70.39131085960632
2043,70.01588725850277,69.1190444247609,70.90473006898402,69.42988771875231,70.59750596243268
2044,70.206534508674,69.29262339317582,71.11452168839091,69.60423143549795,70.7876503045911
2045,70.39067474493382,69.47174301141473,71.32113511694001,69.78350577246295,70.98684654404133
2046,70.5820929060276,69.64447217467608,71.52430047051777,69.97008296843997,71.18618035465803
2047,70.76389060054098,69.82661505492311,71.72719414351477,70.13513043321716,71.37155531997765
2048,70.94904583603432,69.99574491919041,71.90533971000569,70.30731822742892,71.56004867252969
2049,71.12090812914185,70.15702710334756,72.09447973148941,70.48200313621977,71.75086475106885
2050,71.29525064867957,70.33247085901425,72.29292128064142,70.64986035196397,71.93874998981346
2051,71.46926774134529,70.4664962945931,72.46055464670462,70.81883379369137,72.12141652559582
2052,71.63957485116546,70.60326695766157,72.6583015319025,70.98930260130652,72.30074817741226
2053,71.81666874681986,70.79208490363689,72.8309298427673,71.13977613015915,72.47184059948094
2054,71.98982063349484,70.93991695235019,73.0100721467181,71.29661638404431,72.6530690088644
2055,72.15730939800574,71.11068348076049,73.18542159930544,71.45932754561736,72.82463995814142
2056,72.31492412420315,71.24103215150954,73.35669679790806,71.61976886593344,72.99973678171179
2057,72.49043273611392,71.39917833887354,73.52479547976469,71.78342708941156,73.16303234579964
2058,72.65118979634852,71.54377521040591,73.69206219646259,71.93727812435982,73.32180950277287
2059,72.80565957758347,71.68956351495187,73.86818773461468,72.08807795728374,73.48162100582766
2060,72.96861475322203,71.84150882305578,74.0278037880651,72.24874467628275,73.6410066245405
2061,73.12062873031405,71.9841481734913,74.20652355648083,72.40626079891783,73.81849698152472
2062,73.28326047321613,72.1306139293998,74.36522750368903,72.56455413219959,73.98005338294318
2063,73.43774375801054,72.2691554622595,74.52375174781457,72.70953258988993,74.13550264032853
2064,73.59250587174502,72.43533971312775,74.6829471648074,72.86570897889194,74.28718772961595
2065,73.74725920415437,72.57281076595116,74.85297265083122,73.00019459169359,74.44254974242263
2066,73.89047408834725,72.71702091511713,74.99254105710038,73.15287980768193,74.58879629593466
2067,74.04225684243224,72.87020848690237,75.16297538818816,73.28983581641249,74.75726166485339
2068,74.19078959439392,73.00688558596711,75.31491004468806,73.43810339964308,74.89718479167693
2069,74.34227118634823,73.1624038267473,75.46890245283888,73.56939302830033,75.04791252224453
2070,74.48118877885791,73.29573489557279,75.6193328915948,73.7107011625908,75.19470219530257
2071,74.62838576280004,73.40987714122889,75.75681253692353,73.85397899318599,75.34544822754565
2072,74.77336961949476,73.55690741080352,75.89778513951413,73.98267256808876,75.48450262126116
2073,74.91109243266145,73.68377165463356,76.05108110505248,74.11491003382643,75.62778330622476
2074,75.04406643206833,73.81537446331414,76.18180645476575,74.25180688074353,75.76979353154087
