year,e0_med,e0_lo95,e0_hi95,e0_lo80,e0_hi80
2024,66.18258580802785,65.77590541148646,66.6009163394068,65.92161073290336,66.46634827058404
2025,66.42911684183726,65.83968483389427,66.98789060093678,66.0511692786961,66.80450830454333
2026,66.65403549271053,65.95026790411968,67.32750719554627,66.20970710716,67.09828744468527
2027,66.89572167922432,66.09443125219265,67.6837054056757,66.3805298260757,67.40326495279554
2028,67.11930518180755,66.23713218847115,68.01218594158208,66.53000212909498,67.69447493603303
2029,67.34436299822073,66.35921050715399,68.31284552863588,66.72356915985756,67.96775741504214
2030,67.56747483619102,66.5300091584164,68.59726511056147,66.87651018087122,68.23677824130573
2031,67.77756553179314,66.68476547795794,68.84545082097189,67.05876542176591,68.4704425926741
2032,67.9911092107823,66.82792732132796,69.12706476497299,67.21992434692162,68.72067662393616
2033,68.1952657809031,67.00754348588276,69.34619921616753,67.42059011631218,68.95569824023319
2034,68.41523909346179,67.13361195069338,69.6011104120239,67.5741562435781,69.19976818507419
2035,68.61889250815784,67.27287461945996,69.81819602229886,67.7496365370683,69.40629763955884
2036,68.80877482911794,67.4500088632964,70.05710070025158,67.91433642415706,69.61721202534596
2037,69.01915340360942,67.61309480078488,70.30181030293208,68.09320283207721,69.85459696046382
2038,69.21204690749957,67.75508591811628,70.51867730874034,68.2616767420136,70.07876110414911
2039,69.4029738687783,67.93877500147538,70.75763101348593,68.43284224974303,70.2732039356668
2040,69.57630220189029,68.06301064547365,70.96086012375146,68.6037285381527,70.48569776944537
2041,69.76521539074054,68.23651901908858,71.17233139316426,68.77572847198088,70.70754231266649
2042,69.95447328145589,68.38415670458392,71.40728270563267,68.92698480854975,70.90618776311992
2043,70.14728963807393,68.54844314664302,71.62454449603842,69.11655981231988,71.11696308303345
2044,70.32608709015494,68.70276470789754,71.8512863021425,69.29296276209924,71.31057122846089
2045,70.50093507753456,68.85164079753905,72.0549794241979,69.45760735972404,71.50207096101508
2046,70.68342571076644,69.00473266584783,72.22261630414167,69.62737647957624,71.6825942384252
2047,70.85749828279219,69.19418461039625,72.43163638672664,69.80826597975876,71.88843849716625
2048,71.02411805698989,69.31429508772689,72.62846368666675,69.95690686828222,72.08096118120801
2049,71.20340850903806,69.47045578360525,72.81298000121694,70.11418665564561,72.24986257308278
2050,71.36300653323494,69.60459831666499,72.96053082633254,70.26888093088952,72.42686157446224
2051,71.51869972901305,69.77366137843705,73.14337688455679,70.43392631774333,72.59049717762588
2052,71.69016141543048,69.92261027086319,73.30111531779417,70.57160656053645,72.76619704872002
2053,71.85861779673854,70.08224957573665,73.46306545730391,70.71608352138072,72.93894038392197
2054,72.00487155561932,70.2576277321117,73.63463264799303,70.87487767122535,73.08691523498298
2055,72.16688434036247,70.3923564679492,73.78984431662828,71.03998857105516,73.25510682263803
2056,72.33283526850576,70.54899508663732,73.95853602952896,71.18317913558052,73.41305208434447
2057,72.46975924671196,70.7320619687788,74.08904962197539,71.31053178292929,73.56414649703898
2058,72.6273084360456,70.88902773754904,74.25036342744517,71.48863164249389,73.73764983222193
2059,72.76881171255711,71.01573297736532,74.43585972990438,71.62824172624094,73.8914804085122
2060,72.9138368285429,71.12498794479848,74.5975715951082,71.75421624181045,74.05123334302243
2061,73.06526992144782,71.28621244878504,74.77010641705739,71.90083657475947,74.22199685817759
2062,73.21010184529032,71.40421873671605,74.97766593647893,72.0448695598674,74.37022335259329
2063,73.36196172963099,71.53640685395298,75.07593059581878,72.19825024887678,74.51289511116966
2064,73.50484373295726,71.67695191717652,75.21775610011225,72.34621135632054,74.64932997505763
2065,73.64085990670328,71.80455706239094,75.36602575762252,72.48434382729468,74.78912692495139
2066,73.78172820936032,71.9430522216274,75.53624715104041,72.61292266783535,74.93911833375601
2067,73.91586941988396,72.06039268100751,75.66682183342846,72.76900453852984,75.07952801001692
2068,74.05479158229262,72.17588063208696,75.78406185550429,72.88603297172187,75.21492323564806
2069,74.19218762190904,72.36470142308028,75.94346945708756,73.00258532679459,75.35315604050898
2070,74.32067752099069,72.49759174157565,76.06378549848233,73.1217092711255,75.4879520961431
2071,74.45062741453927,72.63068901843695,76.17697244383216,73.26933801618847,75.60829882734757
2072,74.57891711451177,72.76681270853517,76.33706734482396,73.37036023092816,75.7198761043025
2073,74.71287344991256,72.8969745659562,76.43716907208508,73.50384384445323,75.8628906235889
2074,74.84424501560198,72.974207717371,76.59065698632432,73.61630771054425,75.991328422757
