year,pop_med,pop_lo95,pop_hi95,pop_lo80,pop_hi80
2024,2422712.0000000005,2422712.0000000005,2422712.0000000005,2422712.0000000005,2422712.0000000005
2025,2473367.1113346936,2456931.096717406,2490857.574420235,2462760.1557471273,2485234.8448020723
2026,2524694.7620832343,2498507.087464908,2551040.0412286143,2506606.072031959,2542826.6341410424
2027,2575262.495885698,2539066.275401053,2608682.4429910425,2553303.6469084146,2597604.0429977565
2028,2627613.1780565064,2583990.684589048,2667479.8155090692,2600442.0156448563,2653925.211559839
2029,2678323.5879176133,2631088.046162993,2726829.3837773046,2646152.013362396,2710301.4394312957
2030,2728233.7325068507,2676101.890380976,2783302.9536511614,2693641.9609993594,2765372.5638176994
2031,2780300.020559081,2714737.840196622,2839905.5773210847,2741804.647560867,2819951.308897991
2032,2830523.6013931334,2759836.6777102677,2894665.419780432,2786069.3315836713,2876238.0670742723
2033,2882994.4330639523,2807316.982809658,2952604.237807218,2831708.6407297864,2931001.10194241
2034,2932530.8625340792,2853811.4146061935,3013280.220576075,2880345.8098725663,2985264.4004164515
2035,2981296.1691942294,2901301.152197566,3068939.1921901377,2926849.100111794,3039558.773482343
2036,3035564.1439913535,2945911.7718979013,3124751.2194051333,2973160.4342934303,3095597.350993127
2037,3086108.2056581895,2989032.9035989456,3179611.5980541054,3022695.989118702,3150282.091553149
2038,3136652.8567695785,3034308.2373892153,3233909.865818511,3073762.209423419,3202869.632343176
2039,3186941.723632978,3087307.329247373,3290983.348117803,3119924.6576723647,3260236.487400211
2040,3239334.0267594405,3135618.436652352,3349578.3184136595,3168311.702021112,3316195.484290872
2041,3292921.7455512807,3179091.11498999,3408907.188796023,3214867.027773462,3367454.995334868
2042,3345044.311020131,3220829.918840247,3465519.7357791313,3263358.5723192324,3424044.871139459
2043,3397223.454546716,3269045.4211207875,3523430.0412576986,3313695.0522712474,3478224.002580913
2044,3447029.094573166,3311335.3358427756,3576633.9154842063,3359833.000186374,3530480.138697867
2045,3497002.3672965905,3361772.8593781935,3631261.0375212515,3408533.1541977255,3585144.99823145
2046,3546310.707126585,3407205.3924763417,3687434.4734060485,3454798.616141472,3639870.8531008554
2047,3597762.1890523806,3455537.4019863657,3749409.771175759,3504598.8474327456,3694091.3132914742
2048,3647393.407020225,3502740.816605888,3794337.9973085187,3551599.8736209255,3747740.711985162
2049,3697286.9181349254,3544863.7331449455,3852110.9354021004,3596867.3661951795,3798153.2129371376
2050,3743031.477290987,3587352.5514814886,3901613.434393272,3642012.0902113356,3852466.684248277
2051,3788412.924786322,3631720.1073206565,3958279.0821981737,3684185.5248233643,3901103.6339622224
2052,3837568.663578826,3674039.525062888,4007996.7488280647,3728110.3180834353,3953820.779811547
2053,3883567.1347894315,3712217.9088465427,4059433.527922429,3767593.438738505,4003348.537513761
2054,3928101.042475429,3752557.342582373,4115858.65712296,3810469.8533060546,4050751.1698972695
2055,3971554.054807215,3788668.040455849,4166892.6299041347,3852542.609700381,4097240.1695105303
2056,4013989.0052718315,3831883.8126803664,4211031.912315141,3888698.654846452,4144194.112451969
2057,4057208.664190146,3868057.1545735537,4261651.673768313,3929545.238384173,4192040.5033623218
2058,4099126.2559828702,3902371.177567038,4310514.238009255,3967740.042491712,4234010.420286359
2059,4140331.7337447354,3933766.1486950433,4363914.152389695,4007014.62932797,4279749.370466507
2060,4179008.0584468227,3973254.147516593,4408015.336233869,4037847.22352217,4323566.766120394
2061,4217369.817154438,4000057.865413211,4461835.680941397,4073624.0934409616,4367766.916567966
2062,4255600.847764378,4028462.447115308,4507953.536495484,4103945.7847803286,4412036.3924265485
2063,4292623.964443454,4057897.4190052445,4552438.365741037,4135747.109729136,4454559.586815063
2064,4332426.238682555,4092403.0518951057,4589085.404911085,4172266.953838035,4491089.588417379
2065,4369290.011535566,4124087.665419145,4625378.8998920955,4198004.028701723,4539229.987153667
2066,4407014.025910435,4146846.9381991564,4672173.066267177,4232026.6628597025,4579998.212087511
2067,4437412.489368695,4178833.776645528,4715457.188996258,4259986.892411137,4619456.01441095
2068,4475998.877509354,4202283.766157692,4754303.065404428,4293646.184518888,4659673.59781673
2069,4505603.165426521,4228436.726865148,4789002.087569682,4319283.161791312,4693501.500073702
2070,4538032.524430167,4252227.209475321,4833566.697487614,4348536.355215942,4720250.129071398
2071,4568739.018533276,4276814.46671462,4868861.149292443,4375735.655755064,4768208.756023371
2072,4595223.268164031,4301889.527422731,4905880.0625317665,4397489.0247080345,4802434.730750937
2073,4626906.228307342,4327505.394721845,4947307.527934394,4423942.81447066,4839829.77834039
2074,4658323.982158508,4348484.654117193,4975934.035124579,4444398.151493818,4872576.73574815
