country_code	country	age	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
270	Gambia	0	0.16399534	0.1632048	0.16249807	0.16176069	0.16095544	0.16005379	0.15903632	0.15784027	0.1565015	0.15505895	0.15353822	0.15196484	0.15036396	0.14877881	0.14718276	0.14557081	0.14393938	0.14228527	0.14060108	0.13888302	0.13712009	0.13531096	0.13344839	0.13153208	0.12956713	0.12756535	0.12553218	0.12347267	0.12219209	0.1192741	0.11711798	0.11492386	0.11267708	0.11036501	0.10799366	0.10557959	0.10314137	0.10070047	0.09827807	0.0958831	0.09349068	0.09109504	0.08868692	0.08626407	0.08382986	0.08138745	0.07894344	0.07676032	0.07409189	0.07205411	0.06938442	0.06704317	0.06470202	0.06243721	0.06020669	0.05813812	0.05588857	0.05385215	0.05183429	0.04996858	0.0481174	0.04630434	0.04461712	0.04298465	0.04141621	0.03991128	0.03848136	0.0371424	0.0358171	0.03459585	0.03343512	0.03234967	0.03130444	0.03026194	0.02960471	0.02906333	0.02851638	0.02798011	0.0273559	0.02678045	0.02625383	0.02569877	0.02515511	0.02462929	0.02412639	0.02365481	0.02322033	0.02278565	0.02235012	0.02192509	0.02156675	0.02116263	0.02080776	0.0204273	0.02010853	0.01978617	0.01944297	0.01908369	0.01880347	0.01852685	0.01824084	0.01793581	0.01768209	0.01744111	0.01717784	0.01691293	0.01664344	0.01639566	0.01616713	0.0159602	0.01573046	0.01548206	0.0152623	0.01507115	0.01485429	0.01464745	0.0145112	0.01435632	0.01423569	0.01408803	0.01392696	0.01378899	0.01365367	0.01351537	0.01337795	0.01324012	0.01312549	0.01300257	0.01288137	0.01274707	0.0126192	0.01250965	0.01237452	0.0122621	0.0121177	0.01200627	0.01187154	0.01176685	0.01167626	0.01156148	0.0114658	0.01136725	0.01127113	0.01118823	0.01109671	0.01100368	0.01092216	0.01082111	0.01072653	0.01063603	0.01055635
270	Gambia	1	0.17389523	0.17052045	0.16740214	0.16470412	0.16150102	0.15870256	0.15453778	0.15031543	0.14534382	0.14043127	0.1354714	0.13058591	0.12554837	0.12098768	0.11653658	0.11194834	0.10805981	0.10394026	0.10009638	0.09633122	0.09265314	0.08881686	0.08510281	0.08157496	0.07790564	0.0746355	0.0710453	0.06781608	0.0652984	0.06169324	0.05901084	0.0561877	0.05323002	0.0505775	0.04794092	0.04533346	0.04297643	0.04064479	0.03840831	0.03631356	0.03436239	0.0323863	0.03052909	0.02873643	0.02708631	0.0253811	0.02378181	0.02245311	0.02082478	0.01963523	0.01806988	0.01672636	0.01553317	0.01443487	0.0134633	0.01258686	0.01163358	0.01074682	0.00998308	0.00934453	0.00867992	0.008084	0.00754777	0.00704586	0.00661205	0.00620332	0.00581888	0.00551793	0.00518681	0.00494422	0.00470345	0.00448472	0.00428252	0.00407535	0.00398459	0.00391574	0.00384497	0.00377448	0.00369765	0.00362609	0.00356016	0.00348862	0.00341737	0.003347	0.00327914	0.00321335	0.0031544	0.00309326	0.0030324	0.00297106	0.00291913	0.00285855	0.00280556	0.00274596	0.00269598	0.00264315	0.00258915	0.00253098	0.00248462	0.00243819	0.00238992	0.00233704	0.00229449	0.00225426	0.002211	0.00216569	0.00212116	0.00207741	0.00203731	0.0020001	0.00195767	0.00191404	0.00187243	0.00183585	0.00179582	0.00175473	0.00172496	0.00169599	0.00167169	0.00164377	0.0016152	0.00159131	0.00156846	0.00154456	0.00152156	0.00149757	0.00147689	0.00145561	0.00143365	0.00141084	0.00138805	0.00136804	0.00134465	0.00132428	0.0012996	0.00127959	0.00125577	0.00123963	0.00122445	0.00120707	0.00119178	0.0011766	0.00116172	0.00114802	0.001134	0.0011199	0.00110673	0.00109253	0.00107844	0.00106517	0.00105288
270	Gambia	2	0.10025008	0.09860653	0.09711567	0.09581723	0.09427863	0.09291984	0.09091092	0.08886013	0.08632614	0.08385676	0.081357	0.07889223	0.07630925	0.07397467	0.07167925	0.06927655	0.06726671	0.06509025	0.06306213	0.0610661	0.05903985	0.05697663	0.05498091	0.05302019	0.05096335	0.04913737	0.04703501	0.04526186	0.04390803	0.04171769	0.04019312	0.03848477	0.03668565	0.03504032	0.03340301	0.03177901	0.03026281	0.02880623	0.02729777	0.02597338	0.02473323	0.02347882	0.02225995	0.02105403	0.01995029	0.01886584	0.01782555	0.01697934	0.01585432	0.01502266	0.01410349	0.01326912	0.01248502	0.01173609	0.01104263	0.01043493	0.00975702	0.0091575	0.00859763	0.00814149	0.00764377	0.00720046	0.00679516	0.00640929	0.0060707	0.00573799	0.00541936	0.00516201	0.00489548	0.00467175	0.00444984	0.00425708	0.00406785	0.00388445	0.00379757	0.00372366	0.0036482	0.0035735	0.0034949	0.00342154	0.00335371	0.00328104	0.00320899	0.00313821	0.00306987	0.00300405	0.00294472	0.00288396	0.00282342	0.00276305	0.00271107	0.00265196	0.00259943	0.00254189	0.00249269	0.00244158	0.00238894	0.00233321	0.00228783	0.0022426	0.00219584	0.00214558	0.0021039	0.00206438	0.00202218	0.00197871	0.00193519	0.00189347	0.00185473	0.00181849	0.00177849	0.00173684	0.00169742	0.0016627	0.00162444	0.00158648	0.00155822	0.00153041	0.00150665	0.0014798	0.00145307	0.00143007	0.0014079	0.00138499	0.00136287	0.00133998	0.00131987	0.00129949	0.00127863	0.00125693	0.00123538	0.00121614	0.00119442	0.00117496	0.00115213	0.00113313	0.00111102	0.00109548	0.00108051	0.00106373	0.00104894	0.00103409	0.00101948	0.00100578	0.00099199	0.0009782	0.00096505	0.00095135	0.00093757	0.00092468	0.00091256
270	Gambia	3	0.0588586	0.05803794	0.0573214	0.05672971	0.05599868	0.05535034	0.05439745	0.05341406	0.0521216	0.0508875	0.04963652	0.04840411	0.04708792	0.04590369	0.04473024	0.04347951	0.04245482	0.04131428	0.04025592	0.03921044	0.03809408	0.03699799	0.03594249	0.03485772	0.03371309	0.03270133	0.03146802	0.03051538	0.02983863	0.0284754	0.02762551	0.02659375	0.02550206	0.02447983	0.02346309	0.02245241	0.02147187	0.02056487	0.01953972	0.01870443	0.01791517	0.01712206	0.01632048	0.01550689	0.01476834	0.01408895	0.01341975	0.01289866	0.01211757	0.01157806	0.01103944	0.01054821	0.01004802	0.00955012	0.00906173	0.00865839	0.00818004	0.00779841	0.00739624	0.00709021	0.00672881	0.00640188	0.00610584	0.00581802	0.00555872	0.00529106	0.00503038	0.00481663	0.0046015	0.00439621	0.00419149	0.00402462	0.00385082	0.00368477	0.00360194	0.00352552	0.00344804	0.0033715	0.00329319	0.00321997	0.0031521	0.00308006	0.00300885	0.00293906	0.00287168	0.00280712	0.00274865	0.00268934	0.00263019	0.00257162	0.00252057	0.00246365	0.00241235	0.0023573	0.00230959	0.00226058	0.00220983	0.00215689	0.002113	0.00206939	0.00202456	0.00197703	0.00193669	0.00189834	0.00185764	0.00181623	0.00177418	0.00173464	0.00169749	0.00166258	0.00162498	0.00158544	0.00154826	0.00151542	0.00147903	0.00144396	0.00141723	0.00139065	0.00136767	0.00134204	0.00131704	0.00129514	0.00127389	0.00125213	0.00123104	0.00120938	0.00119004	0.00117066	0.00115097	0.00113046	0.00111022	0.00109186	0.00107174	0.00105325	0.00103213	0.0010142	0.00099371	0.00097885	0.00096425	0.00094816	0.00093392	0.00091954	0.00090539	0.00089189	0.00087849	0.00086513	0.00085219	0.00083906	0.00082572	0.00081329	0.00080147
270	Gambia	4	0.03579942	0.03537734	0.03502255	0.03474698	0.03440105	0.03409889	0.03364477	0.0331699	0.0324951	0.03186829	0.03123297	0.0306095	0.02992856	0.0293212	0.02871467	0.02805416	0.02752945	0.02692487	0.02636847	0.02581782	0.0251907	0.02460557	0.02404733	0.02343907	0.02279565	0.02223001	0.02149264	0.02098585	0.02067691	0.01979965	0.01932934	0.01869823	0.01802776	0.01738294	0.01674349	0.01610713	0.01546264	0.01489263	0.01418397	0.01365177	0.01314322	0.01263784	0.01210393	0.01154812	0.01104885	0.01062568	0.01019578	0.00988203	0.00933528	0.00899623	0.00868948	0.00841895	0.00810903	0.00778486	0.00744327	0.00718545	0.00685136	0.00662645	0.00634333	0.00615166	0.00589707	0.00566089	0.00545251	0.00524467	0.0050507	0.0048381	0.00462773	0.00445306	0.00428147	0.00409476	0.00390729	0.00376489	0.00360708	0.00345712	0.0033791	0.00330283	0.00322584	0.00315004	0.00307418	0.00300317	0.00293722	0.00286766	0.00279906	0.00273193	0.00266705	0.00260514	0.002549	0.00249234	0.00243582	0.00238013	0.00233111	0.00227724	0.00222826	0.00217635	0.00213093	0.00208471	0.00203659	0.00198696	0.00194531	0.00190397	0.00186162	0.00181722	0.00177887	0.00174231	0.00170369	0.00166479	0.00162484	0.00158782	0.00155273	0.0015196	0.00148463	0.00144752	0.00141284	0.00138211	0.00134793	0.00131569	0.0012907	0.00126558	0.00124366	0.00121952	0.0011964	0.00117582	0.00115581	0.00113546	0.00111563	0.00109542	0.00107714	0.00105894	0.0010406	0.00102145	0.00100266	0.00098538	0.00096687	0.00094954	0.00093014	0.00091337	0.00089455	0.0008805	0.00086652	0.00085129	0.00083776	0.00082404	0.00081053	0.00079751	0.00078469	0.00077195	0.00075943	0.00074701	0.00073429	0.00072245	0.00071108
270	Gambia	5	0.0229691	0.02273701	0.02254731	0.02241736	0.02224066	0.02209246	0.02187645	0.02163751	0.02126472	0.02093059	0.02059255	0.02026292	0.01989373	0.01956875	0.01924179	0.01887716	0.01859905	0.0182651	0.01796172	0.01766149	0.01729284	0.01696999	0.01666659	0.01631185	0.01593671	0.0156094	0.01515013	0.01487674	0.01475517	0.01416342	0.01389854	0.01349973	0.01307474	0.01265452	0.0122405	0.01182829	0.01139219	0.01102437	0.01052104	0.01017248	0.00983569	0.00950571	0.00914088	0.00875179	0.00840644	0.00814014	0.0078598	0.00767231	0.00728248	0.00706924	0.00690125	0.00676404	0.00657536	0.00636586	0.00612567	0.00596507	0.00573194	0.00561188	0.0054147	0.00530374	0.00512825	0.00496065	0.00481873	0.00467274	0.00453057	0.00436343	0.00419551	0.00405444	0.00391952	0.00375215	0.00358301	0.00346317	0.00332189	0.00318826	0.00311604	0.00304267	0.00296873	0.0028961	0.00282497	0.00275822	0.00269617	0.00263097	0.00256677	0.00250403	0.00244332	0.00238551	0.00233313	0.00228046	0.00222788	0.00217624	0.00213045	0.00208063	0.00203504	0.0019872	0.00194495	0.00190229	0.00185773	0.00181211	0.00177348	0.00173522	0.00169606	0.00165529	0.00161972	0.00158569	0.00154983	0.001514	0.00147692	0.00144289	0.00141042	0.00137967	0.00134766	0.00131349	0.00128169	0.00125343	0.00122192	0.00119267	0.00116967	0.0011464	0.00112592	0.00110357	0.00108258	0.00106369	0.0010452	0.00102656	0.00100832	0.00098983	0.00097292	0.00095618	0.0009394	0.00092184	0.00090468	0.00088876	0.00087198	0.00085602	0.00083845	0.00082302	0.00080594	0.00079294	0.00077983	0.00076569	0.00075308	0.00074026	0.00072763	0.00071535	0.00070336	0.00069144	0.00067962	0.00066806	0.00065617	0.00064511	0.00063438
270	Gambia	6	0.01577955	0.01563915	0.01552787	0.01545673	0.01536246	0.0152775	0.01516164	0.01503879	0.01481275	0.01461768	0.01442145	0.01423174	0.01401352	0.01382447	0.01363312	0.01341462	0.01325536	0.01305571	0.01287716	0.01270085	0.01246739	0.01227589	0.01209936	0.01187731	0.01164275	0.01144019	0.011135	0.01097926	0.01094917	0.01052237	0.01036543	0.01009894	0.00981426	0.00952607	0.00924494	0.00896489	0.0086571	0.00840819	0.00803724	0.00779779	0.0075647	0.00733921	0.00707993	0.00679731	0.00654926	0.00637563	0.00618568	0.00607217	0.00578422	0.00564626	0.0055549	0.00549112	0.00537431	0.00523586	0.00506248	0.00496213	0.00479569	0.00473825	0.00459899	0.00453882	0.00441732	0.00429786	0.00420208	0.00410016	0.0039963	0.00386515	0.0037316	0.00361842	0.00351291	0.00336594	0.00321644	0.00311686	0.0029927	0.00287579	0.00281062	0.00274278	0.00267451	0.00260748	0.00254279	0.00248208	0.00242554	0.00236627	0.00230795	0.002251	0.00219589	0.00214347	0.00209592	0.00204826	0.00200066	0.00195398	0.00191241	0.00186746	0.00182612	0.00178305	0.00174482	0.00170633	0.00166609	0.00162512	0.00159019	0.00155565	0.00152036	0.00148372	0.00145155	0.00142075	0.0013883	0.00135605	0.00132249	0.00129193	0.00126262	0.00123482	0.00120614	0.00117537	0.00114688	0.00112147	0.0010931	0.00106706	0.0010464	0.00102535	0.00100678	0.00098659	0.00096787	0.00095097	0.00093434	0.00091761	0.00090122	0.0008847	0.00086945	0.0008544	0.0008394	0.00082364	0.00080831	0.00079397	0.00077906	0.00076471	0.00074909	0.0007352	0.00071999	0.00070822	0.00069629	0.00068348	0.00067202	0.00066036	0.00064886	0.00063762	0.0006267	0.00061585	0.00060502	0.0005945	0.00058367	0.00057361	0.00056378
270	Gambia	7	0.01173387	0.0116375	0.01156302	0.01151855	0.01145507	0.01140311	0.01132614	0.01124773	0.0110996	0.010969	0.0108384	0.01071348	0.01056692	0.01044139	0.01031386	0.01016585	0.01006161	0.0099267	0.0098078	0.00969052	0.00952679	0.00939861	0.00928245	0.00912826	0.00896506	0.008826	0.00860491	0.00850505	0.00852042	0.00818355	0.00807982	0.00788722	0.0076811	0.00746944	0.00726583	0.00706252	0.00683331	0.0066529	0.00636689	0.00619091	0.00601969	0.00585492	0.00566073	0.00544543	0.00525792	0.00513656	0.00499916	0.00492804	0.00470298	0.004607	0.00455329	0.00452394	0.00444545	0.00434747	0.00421572	0.00414884	0.00402347	0.00399684	0.00389332	0.00386007	0.00377165	0.00368294	0.00361549	0.00354166	0.00346374	0.00335964	0.00325256	0.00316158	0.00307827	0.00295214	0.00282306	0.00274091	0.00263396	0.00253368	0.00247629	0.00241573	0.00235485	0.00229511	0.0022382	0.00218479	0.00213507	0.00208293	0.00203165	0.00198159	0.00193313	0.00188709	0.00184533	0.00180349	0.00176174	0.00172083	0.00168426	0.00164487	0.00160855	0.00157082	0.00153724	0.00150353	0.00146818	0.00143235	0.0014017	0.00137139	0.00134045	0.0013084	0.00128014	0.00125303	0.00122451	0.00119624	0.00116673	0.00113997	0.00111423	0.00108978	0.00106471	0.00103772	0.00101279	0.00099053	0.00096562	0.00094293	0.00092484	0.00090628	0.00088986	0.00087211	0.00085582	0.00084107	0.00082655	0.00081196	0.00079758	0.00078318	0.00076983	0.00075664	0.00074355	0.00072977	0.00071638	0.0007038	0.00069081	0.00067823	0.00066463	0.00065242	0.00063916	0.00062876	0.00061817	0.00060685	0.0005967	0.00058637	0.00057617	0.00056615	0.00055645	0.00054682	0.00053716	0.00052782	0.00051818	0.00050922	0.00050044
270	Gambia	8	0.00942712	0.0093518	0.00929443	0.00926121	0.00921221	0.0091686	0.00911248	0.00904934	0.00893172	0.00883697	0.00873586	0.00863969	0.00852635	0.00842983	0.00833144	0.00821664	0.0081368	0.00803223	0.00794091	0.00785083	0.00772288	0.00762413	0.0075353	0.00741534	0.00728759	0.00718013	0.00700497	0.00692986	0.00696648	0.00667872	0.00659997	0.00644853	0.00628587	0.00611871	0.00596039	0.00580176	0.00562105	0.00547985	0.00524871	0.0051094	0.00497518	0.00484538	0.00469136	0.00451861	0.00436875	0.00427587	0.00416812	0.00412023	0.00393361	0.00385908	0.00382114	0.00380387	0.00374339	0.00366655	0.00355974	0.00350889	0.00340773	0.00339167	0.00330857	0.00328602	0.00321578	0.0031451	0.0030929	0.00303507	0.00297327	0.00288851	0.00280076	0.00272655	0.00265908	0.00255248	0.00244289	0.00237481	0.0022839	0.00219899	0.00214923	0.00209647	0.00204346	0.00199146	0.00194258	0.00189666	0.00185394	0.00180918	0.00176508	0.00172204	0.00168036	0.0016408	0.00160496	0.00156904	0.00153318	0.00149808	0.00146665	0.00143282	0.00140158	0.00136918	0.00134028	0.00131134	0.00128093	0.00125015	0.0012238	0.00119775	0.00117113	0.00114358	0.00111928	0.00109589	0.0010713	0.00104699	0.00102153	0.0009985	0.00097632	0.00095524	0.00093368	0.00091041	0.00088897	0.00086978	0.00084831	0.0008288	0.00081323	0.00079715	0.00078292	0.00076754	0.00075362	0.000741	0.00072855	0.00071606	0.0007037	0.00069134	0.00067986	0.00066853	0.00065729	0.00064542	0.00063392	0.00062306	0.0006119	0.00060105	0.00058936	0.0005788	0.00056738	0.00055835	0.00054912	0.00053926	0.00053044	0.00052143	0.00051253	0.00050378	0.0004953	0.00048688	0.00047842	0.00047024	0.00046181	0.00045394	0.00044621
270	Gambia	9	0.00812934	0.00806314	0.00801299	0.00798359	0.00793999	0.00789962	0.00784591	0.00779235	0.00768486	0.00759907	0.00751575	0.00743052	0.00733067	0.00724578	0.00715931	0.00705869	0.00698796	0.00689623	0.00681617	0.00673712	0.00662687	0.00654011	0.0064619	0.00635827	0.00624688	0.00615416	0.00600334	0.00593724	0.00597878	0.00572086	0.00565244	0.00552399	0.00538421	0.00524268	0.00511069	0.00497777	0.00482712	0.00470799	0.00451228	0.00439386	0.0042816	0.00417149	0.0040421	0.00389608	0.00376943	0.00369125	0.0035995	0.00356226	0.00339988	0.00333501	0.00330087	0.00328395	0.00323008	0.00316282	0.00307037	0.00302517	0.00293773	0.00292103	0.00284866	0.00282745	0.002766	0.00270493	0.0026596	0.0026098	0.00255726	0.00248571	0.00241144	0.00234931	0.00229256	0.0022028	0.00211027	0.00205289	0.00197589	0.00190408	0.00186107	0.00181555	0.00176982	0.00172496	0.00168338	0.0016443	0.00160793	0.00156983	0.0015323	0.0014956	0.00146008	0.00142637	0.00139589	0.00136533	0.00133481	0.0013049	0.00127814	0.00124932	0.00122268	0.00119505	0.00117038	0.00114569	0.00111974	0.00109348	0.00107098	0.00104875	0.00102604	0.00100246	0.00098171	0.00096172	0.00094064	0.00091984	0.00089806	0.00087834	0.00085933	0.00084128	0.00082282	0.00080286	0.00078452	0.00076805	0.00074963	0.00073292	0.00071958	0.00070571	0.00069346	0.00068022	0.00066836	0.00065765	0.00064704	0.0006364	0.00062584	0.00061531	0.00060549	0.00059579	0.0005862	0.00057603	0.00056619	0.00055687	0.00054729	0.00053796	0.00052793	0.00051883	0.00050901	0.00050119	0.0004932	0.00048464	0.00047699	0.00046918	0.00046146	0.00045385	0.00044648	0.00043913	0.00043176	0.0004246	0.00041725	0.00041037	0.00040358
