country_code	country	age	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
270	Gambia	0	0.15138541	0.15075438	0.15016728	0.14953633	0.14883259	0.14801601	0.14709151	0.14597338	0.14472972	0.14338706	0.14198491	0.14054591	0.13906367	0.13759272	0.13611065	0.13461566	0.13310574	0.13156592	0.12998565	0.12835844	0.12667634	0.12493346	0.12313317	0.12129354	0.11942504	0.11753498	0.11563705	0.11373346	0.11256696	0.10982975	0.1078111	0.1057634	0.1036731	0.10151439	0.09929859	0.09703648	0.09475145	0.09244989	0.09016259	0.08789164	0.08563703	0.08339034	0.08115476	0.07891498	0.07666778	0.07441019	0.07214772	0.07012092	0.06761698	0.06572004	0.06318239	0.06096735	0.05875403	0.05661671	0.05451683	0.05257391	0.05046611	0.04855485	0.04666075	0.04490381	0.04315076	0.04142698	0.03982972	0.03828385	0.03680366	0.03539617	0.03406577	0.03282371	0.03159423	0.03046538	0.02938775	0.02837712	0.0274048	0.02643541	0.02575423	0.02519988	0.02462862	0.02406718	0.02341372	0.02282107	0.02227673	0.02169349	0.02112962	0.02058301	0.02006417	0.01957006	0.01913514	0.01867517	0.01823484	0.017798	0.0174215	0.01701807	0.01664734	0.01626431	0.01594052	0.01561015	0.01527366	0.01493215	0.01464125	0.01438149	0.0141023	0.01379814	0.0135617	0.01332543	0.01308481	0.0128533	0.01261532	0.0124054	0.01219816	0.01202271	0.01183254	0.01162216	0.01144703	0.01128754	0.0111193	0.01096003	0.01086861	0.01074362	0.01066069	0.01056341	0.01044598	0.01037055	0.01028071	0.01020976	0.01012233	0.01005713	0.00999472	0.00991512	0.00986336	0.00978366	0.00972386	0.00967077	0.00959796	0.00954396	0.00946633	0.0094119	0.00935634	0.00929538	0.00924814	0.00919374	0.00913506	0.00909571	0.00905985	0.00902974	0.00900335	0.00897238	0.00894429	0.00890066	0.00887069	0.00884222	0.00881323
270	Gambia	1	0.16501941	0.16149066	0.15899056	0.15691497	0.15400444	0.15058552	0.14622021	0.14258656	0.13760369	0.1328777	0.12815783	0.12349431	0.11855716	0.11425048	0.11003609	0.10597323	0.10206154	0.09804715	0.09451921	0.09084755	0.08742526	0.08360623	0.07998747	0.07665663	0.07319065	0.07002483	0.06658264	0.06343295	0.0612651	0.05778126	0.05547147	0.05273891	0.04997346	0.04737966	0.04488704	0.04245382	0.04030194	0.03799612	0.03574143	0.03382399	0.03226981	0.03048479	0.02893951	0.02733704	0.02597992	0.02453894	0.02309161	0.02186977	0.02033706	0.01913614	0.01752333	0.01611373	0.01488973	0.01375808	0.01276392	0.0118532	0.01090903	0.00998669	0.00921999	0.00851704	0.00783255	0.00725303	0.00673352	0.00626183	0.00587046	0.00552029	0.0051572	0.00492357	0.00463747	0.00444058	0.00422903	0.00403399	0.00386043	0.00367995	0.00358313	0.00351229	0.00343771	0.00336327	0.00328227	0.00320747	0.00313873	0.0030624	0.00298703	0.00291234	0.00284152	0.00277096	0.00271005	0.0026451	0.00258394	0.00252075	0.00246617	0.0024055	0.00235013	0.00229018	0.00223927	0.00218681	0.00213264	0.00207458	0.00202501	0.00198146	0.00193204	0.00187557	0.00183851	0.0018009	0.00176254	0.00172526	0.00168736	0.00165271	0.0016182	0.00158847	0.0015561	0.00152074	0.00149058	0.00146195	0.00143257	0.00140382	0.00138499	0.00136064	0.00134279	0.00132277	0.00130035	0.00128776	0.00127409	0.00126219	0.00124909	0.00123806	0.00122745	0.00121559	0.00120644	0.00119476	0.00118468	0.00117562	0.00116507	0.00115608	0.00114491	0.00113605	0.00112702	0.00111841	0.0011107	0.00110222	0.00109419	0.00108767	0.00108189	0.00107677	0.00107231	0.00106741	0.00106271	0.00105754	0.00105283	0.00104863	0.00104445
270	Gambia	2	0.09766387	0.09583334	0.09456821	0.09358025	0.09213785	0.09045782	0.08826296	0.08641141	0.08379871	0.08137051	0.07892939	0.07650807	0.07390353	0.07164841	0.06942328	0.06726763	0.06518382	0.06300652	0.06110828	0.05910979	0.05711414	0.05501265	0.05303221	0.05107915	0.04915682	0.04728193	0.04520262	0.04342134	0.04224402	0.04000702	0.03875724	0.03710014	0.03541878	0.03375054	0.03214688	0.03058412	0.02910741	0.02762492	0.02603201	0.02477569	0.02364914	0.02244439	0.0212835	0.02009881	0.01911434	0.0180986	0.01711626	0.01631578	0.01520485	0.01440227	0.01350155	0.01268051	0.01192635	0.0111943	0.01051312	0.0099171	0.00925431	0.00867251	0.00812781	0.00763617	0.00713059	0.00669582	0.00629687	0.00592431	0.00560383	0.00529709	0.00497469	0.00475087	0.00450305	0.00430374	0.00409154	0.00390855	0.00373257	0.00356171	0.0034678	0.00338922	0.00330755	0.00322656	0.00314151	0.00306281	0.00298998	0.0029107	0.0028328	0.00275602	0.00268277	0.0026108	0.00254807	0.00248204	0.00241914	0.00235528	0.00229923	0.00223841	0.00218213	0.00212268	0.00207127	0.00201859	0.00196462	0.00190829	0.00185918	0.00181504	0.00176661	0.00171308	0.00167446	0.00163606	0.00159717	0.00155945	0.00152042	0.00148545	0.00145062	0.00141981	0.00138744	0.00135225	0.00132123	0.00129275	0.00126277	0.00123454	0.00121504	0.0011912	0.00117282	0.00115236	0.00113115	0.00111719	0.00110259	0.00108939	0.00107558	0.00106328	0.00105142	0.00103891	0.00102845	0.00101626	0.00100503	0.00099487	0.00098387	0.00097391	0.0009623	0.00095261	0.00094273	0.00093374	0.00092522	0.00091612	0.00090781	0.00090025	0.00089333	0.00088692	0.00088121	0.00087519	0.00086921	0.00086329	0.00085742	0.0008522	0.00084707
270	Gambia	3	0.0587485	0.05779387	0.05715534	0.05669902	0.05599308	0.05518217	0.05409007	0.05315378	0.05178397	0.05054715	0.04929552	0.0480506	0.04668576	0.04551894	0.04435755	0.04322785	0.04213271	0.04096314	0.03995735	0.03888435	0.03771642	0.03657644	0.03551394	0.03436913	0.03332446	0.03221608	0.03095866	0.02997248	0.02938593	0.02791706	0.0272784	0.02628191	0.02526997	0.02419611	0.02316557	0.0221646	0.02114694	0.02019816	0.01906669	0.01824534	0.01742495	0.0166107	0.01573606	0.01485657	0.01413892	0.01341949	0.01275192	0.01223665	0.01142199	0.01092675	0.01043926	0.01000375	0.00956755	0.00911668	0.00866252	0.00829989	0.00784315	0.0075181	0.00714668	0.00683038	0.0064747	0.00615439	0.00586084	0.00557725	0.00531978	0.00505371	0.00477075	0.00456331	0.00434626	0.00414725	0.00393566	0.00376706	0.00359329	0.00342763	0.00333706	0.00325419	0.00316873	0.00308434	0.0029981	0.00291817	0.00284388	0.00276404	0.00268583	0.00260902	0.00253543	0.00246379	0.00240099	0.00233548	0.00227255	0.00220941	0.00215337	0.00209356	0.00203766	0.00197962	0.00192878	0.00187688	0.00182398	0.00176983	0.00172189	0.00167809	0.00163117	0.00158057	0.00154148	0.00150314	0.00146448	0.00142703	0.00138781	0.00135313	0.0013186	0.00128747	0.00125556	0.00122098	0.00118981	0.0011618	0.00113182	0.00110431	0.00108457	0.00106138	0.00104285	0.00102233	0.00100228	0.00098758	0.00097257	0.00095865	0.00094453	0.00093152	0.00091894	0.00090614	0.0008949	0.00088249	0.0008706	0.00085978	0.00084858	0.00083804	0.00082625	0.00081606	0.00080568	0.00079648	0.00078746	0.00077799	0.00076954	0.0007613	0.00075363	0.00074635	0.00073979	0.00073302	0.00072617	0.00071975	0.00071309	0.00070718	0.00070137
270	Gambia	4	0.03652137	0.03600837	0.03567905	0.03547187	0.03512312	0.03473097	0.03418109	0.03370066	0.03296572	0.03232743	0.03167739	0.03103009	0.03030432	0.02969581	0.02908466	0.02848856	0.02791012	0.02727585	0.02674195	0.02616366	0.02546537	0.02484536	0.02427825	0.02359573	0.02303155	0.0223665	0.02159291	0.0210514	0.02079257	0.01979911	0.0194947	0.0188918	0.0182804	0.01757985	0.01691101	0.01626448	0.01555504	0.01494387	0.01413026	0.01358835	0.01298502	0.01242839	0.011765	0.0111063	0.01057764	0.01006179	0.00960298	0.00927202	0.00866688	0.0083739	0.00812927	0.00793193	0.00770071	0.00743842	0.00714285	0.00694207	0.00663384	0.00649039	0.00624938	0.00606771	0.00583113	0.00560295	0.00539742	0.00519017	0.00498841	0.00476077	0.00451593	0.0043274	0.00413895	0.00394428	0.00373709	0.00358426	0.00341611	0.00325694	0.0031707	0.00308698	0.00300107	0.00291646	0.00283195	0.00275352	0.00268042	0.00260251	0.00252633	0.00245168	0.00237994	0.00231054	0.00224955	0.00218628	0.00212515	0.00206428	0.00200984	0.00195238	0.00189831	0.0018428	0.00179374	0.00174378	0.00169303	0.00164176	0.0015959	0.00155349	0.00150882	0.00146148	0.00142311	0.0013858	0.00134827	0.00131193	0.00127358	0.00123995	0.00120646	0.00117589	0.00114504	0.0011117	0.00108117	0.00105413	0.00102485	0.00099844	0.00097899	0.00095674	0.0009385	0.00091841	0.00089963	0.00088483	0.00086993	0.0008559	0.00084192	0.00082876	0.00081602	0.00080332	0.00079183	0.00077955	0.0007675	0.00075648	0.00074538	0.00073469	0.00072303	0.00071271	0.00070221	0.00069305	0.00068386	0.00067433	0.00066593	0.00065738	0.00064935	0.00064163	0.00063462	0.00062746	0.00062014	0.00061348	0.0006064	0.0006001	0.00059393
270	Gambia	5	0.02387209	0.02357904	0.02339951	0.02330462	0.02312457	0.02292806	0.02263802	0.02237947	0.02196316	0.02161826	0.02126498	0.02091347	0.02050932	0.02017923	0.01984476	0.01951821	0.01920173	0.01884408	0.01855185	0.01822993	0.0177939	0.01744617	0.01713677	0.01671334	0.01640245	0.01598818	0.01549387	0.01519143	0.01510251	0.01440233	0.01426847	0.01389335	0.01351429	0.01304375	0.01259907	0.0121717	0.01166734	0.01126494	0.01066819	0.01030187	0.00985121	0.00946157	0.00895276	0.00845244	0.00805647	0.00767885	0.00735595	0.0071402	0.00668234	0.00651075	0.0064034	0.00634132	0.00623314	0.00608939	0.00589914	0.00580195	0.00559609	0.00556907	0.00542012	0.00533274	0.00518408	0.00502681	0.00488981	0.00474388	0.00458927	0.00439743	0.00418884	0.0040209	0.00385979	0.00367494	0.00347779	0.00334194	0.00318339	0.00303413	0.00295363	0.00287245	0.00278941	0.00270777	0.00262787	0.00255364	0.00248432	0.00241083	0.00233905	0.00226879	0.00220114	0.00213597	0.00207865	0.0020194	0.00196192	0.00190496	0.00185373	0.00180007	0.00174933	0.00169763	0.00165163	0.00160488	0.00155747	0.00151	0.00146723	0.00142736	0.00138582	0.00134231	0.00130587	0.00127063	0.00123522	0.00120094	0.00116458	0.00113285	0.00110127	0.00107218	0.00104311	0.00101174	0.00098273	0.00095727	0.00092947	0.00090467	0.00088607	0.00086517	0.00084776	0.00082861	0.00081134	0.00079707	0.00078284	0.00076928	0.00075592	0.00074317	0.00073081	0.00071864	0.00070743	0.00069567	0.00068396	0.00067322	0.00066257	0.00065215	0.00064098	0.00063093	0.0006207	0.00061187	0.00060287	0.0005936	0.00058549	0.00057704	0.00056903	0.00056127	0.0005542	0.00054701	0.00053963	0.00053301	0.00052588	0.00051952	0.00051328
270	Gambia	6	0.01664884	0.01646524	0.01635771	0.01631161	0.01620976	0.01610236	0.0159346	0.01578257	0.01552493	0.01532144	0.01511203	0.01490412	0.01465914	0.01446477	0.01426628	0.01407261	0.01388547	0.01366757	0.01349561	0.0133029	0.01301204	0.01280271	0.01262252	0.01234219	0.01215968	0.01188484	0.01154938	0.01137013	0.01136523	0.01084259	0.01079011	0.01054292	0.01029428	0.00996301	0.00965509	0.00936077	0.00899193	0.00871583	0.0082658	0.00800747	0.00766344	0.00738028	0.00698357	0.00659588	0.00629232	0.00600756	0.00577156	0.00562655	0.0052702	0.00516723	0.00512906	0.00513363	0.00509119	0.00501506	0.00488994	0.00485153	0.0047112	0.00474664	0.00465627	0.00462605	0.00453533	0.00442762	0.00433834	0.00423688	0.00411919	0.00395952	0.00378419	0.00363812	0.00350234	0.00333349	0.00315275	0.00303479	0.00289025	0.00275478	0.00268174	0.00260643	0.00252952	0.00245399	0.00238109	0.0023133	0.00224993	0.00218295	0.00211758	0.00205363	0.00199197	0.00193272	0.00188056	0.00182677	0.00177442	0.0017227	0.00167604	0.00162737	0.00158122	0.0015344	0.00149258	0.00145012	0.0014071	0.00136426	0.00132551	0.00128917	0.00125158	0.0012125	0.00117908	0.00114685	0.00111449	0.00108315	0.00104983	0.00102081	0.00099194	0.00096521	0.00093864	0.00091	0.00088335	0.00086009	0.00083455	0.00081192	0.00079479	0.00077573	0.00075969	0.00074209	0.00072656	0.00071337	0.00070028	0.00068771	0.00067541	0.00066358	0.0006521	0.00064087	0.00063042	0.00061957	0.00060867	0.00059865	0.0005888	0.00057908	0.00056876	0.00055938	0.00054983	0.00054163	0.00053321	0.00052454	0.00051701	0.00050903	0.00050144	0.00049407	0.00048732	0.00048047	0.00047343	0.00046716	0.00046035	0.00045426	0.0004483
270	Gambia	7	0.01252406	0.01239443	0.01232087	0.01229445	0.01222753	0.01215874	0.01204648	0.01194423	0.01176428	0.01162684	0.01148498	0.01134444	0.01117593	0.01104517	0.01091096	0.01078017	0.01065417	0.01050436	0.01038954	0.01025916	0.01004776	0.00990556	0.00978642	0.00958364	0.00946229	0.00926326	0.0090165	0.0088967	0.00893423	0.00851295	0.00849272	0.00831481	0.00813644	0.00788811	0.00766249	0.00744758	0.00716797	0.00696662	0.00661528	0.00642194	0.00615201	0.00593573	0.00561972	0.00531157	0.00507195	0.00484906	0.00466766	0.00456643	0.00427774	0.00420986	0.00419983	0.0042282	0.00421384	0.00417051	0.00408186	0.00407016	0.00396783	0.00402512	0.00396655	0.00396277	0.00390415	0.00382677	0.00376577	0.00369237	0.00360097	0.00346886	0.00332264	0.00319852	0.00308519	0.00293741	0.00277842	0.00267831	0.00255134	0.00243282	0.00236838	0.00230122	0.00223271	0.00216546	0.00210142	0.00204182	0.00198609	0.00192726	0.00186985	0.0018137	0.00175951	0.0017075	0.00166175	0.0016146	0.00156863	0.00152327	0.00148226	0.00143958	0.00139906	0.00135801	0.00132126	0.00128399	0.0012462	0.00120868	0.00117468	0.00114268	0.00110971	0.00107554	0.00104598	0.00101751	0.00098892	0.00096122	0.00093172	0.00090607	0.00088054	0.00085683	0.00083331	0.00080798	0.00078434	0.00076374	0.00074107	0.00072103	0.00070578	0.00068892	0.00067465	0.000659	0.00064543	0.00063374	0.00062216	0.00061101	0.0006001	0.00058957	0.00057935	0.00056937	0.00056005	0.00055039	0.00054067	0.0005317	0.00052292	0.00051421	0.00050501	0.0004966	0.00048803	0.00048069	0.00047311	0.00046532	0.00045856	0.00045135	0.00044446	0.00043776	0.00043161	0.00042537	0.00041897	0.00041325	0.00040704	0.00040147	0.000396
270	Gambia	8	0.01014887	0.0100457	0.00998781	0.00996825	0.00991607	0.00986268	0.00977434	0.00969462	0.00955214	0.00944438	0.00933304	0.0092228	0.00908987	0.00898752	0.00888232	0.00877986	0.00868129	0.00856341	0.00847431	0.00837259	0.00820468	0.00809341	0.00800105	0.00783998	0.00774561	0.00758736	0.00738984	0.0072965	0.00735428	0.00699066	0.00697905	0.00683773	0.00669592	0.00649675	0.00632058	0.00615287	0.00593214	0.00577462	0.00548964	0.00533512	0.00511659	0.0049422	0.00468385	0.00443159	0.00423611	0.00405434	0.00390704	0.00383252	0.00358883	0.00353633	0.00353272	0.00356193	0.00355437	0.00352301	0.00345269	0.00344787	0.00336582	0.0034203	0.00337565	0.00337784	0.00333323	0.00327196	0.00322463	0.00316651	0.0030923	0.00298245	0.00286012	0.00275609	0.00266147	0.00253636	0.00240095	0.00231704	0.00220871	0.0021079	0.00205211	0.00199389	0.00193451	0.00187624	0.0018215	0.00177051	0.00172284	0.00167252	0.0016234	0.00157535	0.00152896	0.00148446	0.00144537	0.00140508	0.00136576	0.00132695	0.00129184	0.00125531	0.00122061	0.00118546	0.00115396	0.00112202	0.00108962	0.00105746	0.00102832	0.00100082	0.00097254	0.00094324	0.00091778	0.00089326	0.0008686	0.0008447	0.00081925	0.00079709	0.00077506	0.00075455	0.00073422	0.00071231	0.00069185	0.00067403	0.00065439	0.00063702	0.00062379	0.00060919	0.00059681	0.00058324	0.00057161	0.00056156	0.00055163	0.00054202	0.00053262	0.00052353	0.0005147	0.00050608	0.00049802	0.00048966	0.00048124	0.00047346	0.00046583	0.00045825	0.00045027	0.00044293	0.00043546	0.00042906	0.00042244	0.00041561	0.00040969	0.00040338	0.00039732	0.00039143	0.000386	0.00038049	0.00037485	0.00036977	0.00036429	0.00035934	0.00035448
270	Gambia	9	0.00880747	0.00871626	0.00866474	0.00864619	0.00859884	0.00854967	0.00846952	0.0083986	0.00827256	0.00817608	0.00807647	0.00797774	0.00785928	0.00776749	0.00767331	0.00758157	0.00749322	0.00738845	0.00730903	0.00721855	0.00707381	0.00697465	0.00689159	0.00675209	0.00666715	0.00652993	0.00635888	0.00627489	0.00633721	0.00600945	0.00599554	0.00587252	0.0057482	0.00557765	0.00543089	0.00529082	0.00510881	0.00497644	0.0047358	0.00460408	0.00442101	0.00427256	0.00405494	0.00384151	0.00367624	0.00352155	0.00339521	0.00333537	0.0031225	0.00307453	0.00306654	0.0030858	0.00307437	0.00304368	0.002981	0.00297241	0.00290007	0.00293973	0.00289861	0.00289568	0.00285433	0.00280008	0.00275729	0.0027061	0.00264238	0.00254959	0.00244578	0.00235871	0.00227877	0.00217479	0.00206151	0.00199111	0.00190014	0.00181561	0.00176759	0.00171777	0.00166695	0.00161709	0.00157089	0.00152783	0.00148758	0.00144508	0.00140356	0.00136293	0.00132369	0.00128605	0.00125307	0.00121905	0.00118583	0.001153	0.0011233	0.00109238	0.00106302	0.00103322	0.00100653	0.00097947	0.00095197	0.00092465	0.00089994	0.00087659	0.00085258	0.00082764	0.00080598	0.0007851	0.00076405	0.00074365	0.00072194	0.00070301	0.00068419	0.00066667	0.00064926	0.00063049	0.00061299	0.00059771	0.00058088	0.00056595	0.00055462	0.00054208	0.00053147	0.00051983	0.00050995	0.00050146	0.00049306	0.00048492	0.00047692	0.00046921	0.00046171	0.00045435	0.00044751	0.00044034	0.00043317	0.00042653	0.00041998	0.00041349	0.00040663	0.00040032	0.0003939	0.00038838	0.00038267	0.00037676	0.00037164	0.00036619	0.00036094	0.00035584	0.00035114	0.00034635	0.00034145	0.00033701	0.00033224	0.00032791	0.00032365
