country_code	country	age	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
270	Gambia	0	6.136	6.846	7.085	7.32	7.548	7.769	7.985	8.198	8.411	8.626	8.844	9.067	9.289	9.512	9.73	9.936	10.134	10.311	10.543	10.78	11.049	11.313	11.708	12.055	12.41	12.762	13.172	13.628	14.122	14.646	15.247	15.919	16.585	17.309	18.073	18.865	19.528	20.283	20.976	21.73	22.574	23.476	24.247	24.944	25.547	26.244	26.596	26.811	27.034	27.413	27.705	28.015	28.435	28.897	29.506	30.35	31.234	32.354	33.06	33.74	34.585	35.572	36.605	37.747	38.195	38.099	37.965	37.756	37.483	37.137	37.58	38.053	38.555	38.962	39.471
270	Gambia	1	5.818	5.383	6.016	6.233	6.447	6.658	6.865	7.073	7.276	7.486	7.698	7.914	8.134	8.358	8.58	8.798	9.006	9.207	9.394	9.627	9.867	10.136	10.403	10.791	11.137	11.513	11.872	12.288	12.748	13.236	13.768	14.362	15.031	15.702	16.442	17.17	17.971	18.65	19.421	20.136	20.908	21.764	22.679	23.443	24.097	24.691	25.402	25.788	26.035	26.3	26.705	27.039	27.384	27.835	28.329	28.963	29.83	30.74	31.88	32.609	33.31	34.173	35.178	36.226	37.38	37.844	37.766	37.65	37.458	37.202	36.87	37.338	37.82	38.337	38.74
270	Gambia	2	5.513	5.102	4.735	5.3	5.501	5.702	5.903	6.108	6.31	6.516	6.729	6.944	7.165	7.393	7.621	7.849	8.074	8.29	8.504	8.701	8.942	9.19	9.468	9.745	10.136	10.511	10.898	11.274	11.704	12.169	12.674	13.211	13.81	14.486	15.176	15.886	16.625	17.433	18.13	18.916	19.646	20.427	21.294	22.195	22.911	23.55	24.153	24.879	25.281	25.557	25.842	26.272	26.631	26.996	27.469	27.98	28.632	29.516	30.441	31.592	32.334	33.048	33.922	34.936	35.992	37.15	37.621	37.556	37.448	37.264	37.015	36.706	37.179	37.66	38.181
270	Gambia	3	5.223	5.105	4.733	4.397	4.924	5.115	5.309	5.505	5.703	5.904	6.108	6.319	6.533	6.753	6.98	7.207	7.435	7.66	7.881	8.095	8.296	8.54	8.791	9.071	9.35	9.761	10.141	10.536	10.922	11.353	11.829	12.334	12.872	13.475	14.164	14.824	15.539	16.284	17.098	17.808	18.601	19.337	20.126	20.978	21.825	22.525	23.167	23.781	24.511	24.931	25.218	25.517	25.957	26.326	26.706	27.188	27.71	28.375	29.267	30.199	31.353	32.103	32.824	33.705	34.724	35.782	36.942	37.421	37.363	37.263	37.087	36.857	36.555	37.028	37.514
270	Gambia	4	4.951	4.988	4.879	4.526	4.207	4.713	4.898	5.087	5.279	5.475	5.672	5.874	6.081	6.294	6.512	6.736	6.962	7.188	7.414	7.632	7.846	8.049	8.293	8.543	8.823	9.123	9.535	9.921	10.321	10.708	11.148	11.622	12.127	12.668	13.282	13.943	14.606	15.325	16.074	16.894	17.609	18.406	19.147	19.921	20.72	21.549	22.249	22.897	23.513	24.252	24.676	24.97	25.273	25.717	26.094	26.48	26.969	27.499	28.167	29.062	29.995	31.15	31.904	32.63	33.514	34.533	35.594	36.757	37.24	37.189	37.096	36.937	36.714	36.415	36.892
270	Gambia	5	4.697	4.811	4.849	4.744	4.402	4.094	4.586	4.769	4.954	5.144	5.337	5.531	5.731	5.937	6.146	6.362	6.584	6.807	7.032	7.257	7.475	7.688	7.89	8.132	8.382	8.681	8.984	9.401	9.79	10.19	10.584	11.023	11.497	12.004	12.555	13.144	13.807	14.473	15.196	15.95	16.773	17.491	18.29	19.017	19.738	20.522	21.349	22.051	22.699	23.321	24.06	24.484	24.778	25.083	25.53	25.911	26.301	26.795	27.326	27.995	28.889	29.822	30.977	31.733	32.459	33.344	34.365	35.427	36.591	37.078	37.033	36.955	36.802	36.582	36.29
270	Gambia	6	4.46	4.61	4.723	4.76	4.658	4.323	4.021	4.506	4.685	4.869	5.056	5.247	5.44	5.638	5.841	6.049	6.263	6.483	6.705	6.928	7.152	7.368	7.581	7.782	8.024	8.292	8.594	8.901	9.321	9.71	10.116	10.51	10.949	11.424	11.94	12.47	13.061	13.727	14.395	15.123	15.88	16.704	17.425	18.208	18.883	19.592	20.374	21.2	21.902	22.554	23.174	23.911	24.332	24.626	24.933	25.382	25.763	26.158	26.651	27.181	27.849	28.742	29.674	30.828	31.584	32.31	33.195	34.218	35.281	36.445	36.935	36.904	36.832	36.682	36.467
270	Gambia	7	4.238	4.401	4.55	4.661	4.699	4.598	4.269	3.971	4.45	4.628	4.81	4.996	5.185	5.376	5.572	5.774	5.981	6.193	6.412	6.633	6.854	7.077	7.292	7.503	7.705	7.965	8.235	8.541	8.852	9.273	9.666	10.073	10.467	10.908	11.391	11.888	12.421	13.015	13.683	14.356	15.087	15.845	16.67	17.376	18.108	18.772	19.479	20.26	21.084	21.79	22.439	23.057	23.789	24.209	24.503	24.813	25.261	25.645	26.037	26.53	27.059	27.725	28.617	29.548	30.7	31.455	32.183	33.068	34.092	35.155	36.32	36.821	36.794	36.724	36.579
270	Gambia	8	4.048	4.195	4.357	4.504	4.615	4.652	4.553	4.227	3.934	4.407	4.584	4.765	4.949	5.137	5.328	5.522	5.723	5.928	6.14	6.358	6.577	6.798	7.019	7.233	7.444	7.663	7.927	8.201	8.51	8.824	9.248	9.642	10.049	10.445	10.893	11.361	11.861	12.397	12.993	13.665	14.34	15.073	15.832	16.643	17.299	18.021	18.683	19.39	20.168	20.995	21.698	22.345	22.959	23.688	24.108	24.403	24.712	25.162	25.544	25.937	26.428	26.956	27.622	28.513	29.442	30.591	31.347	32.075	32.962	33.985	35.049	36.222	36.725	36.699	36.633
270	Gambia	9	3.892	4.014	4.16	4.321	4.466	4.576	4.613	4.516	4.193	3.903	4.373	4.549	4.728	4.912	5.099	5.288	5.481	5.681	5.886	6.097	6.314	6.532	6.752	6.972	7.187	7.415	7.637	7.903	8.181	8.493	8.81	9.236	9.63	10.039	10.443	10.877	11.347	11.849	12.389	12.989	13.663	14.34	15.074	15.819	16.58	17.227	17.948	18.609	19.314	20.095	20.918	21.619	22.264	22.875	23.603	24.024	24.319	24.63	25.078	25.46	25.852	26.341	26.87	27.536	28.424	29.352	30.501	31.256	31.986	32.873	33.897	34.967	36.14	36.643	36.621
270	Gambia	10	3.747	3.863	3.984	4.13	4.289	4.434	4.543	4.58	4.484	4.164	3.876	4.343	4.518	4.697	4.879	5.065	5.254	5.446	5.646	5.85	6.06	6.276	6.494	6.713	6.932	7.164	7.395	7.621	7.89	8.171	8.488	8.806	9.232	9.627	10.044	10.434	10.871	11.344	11.85	12.393	12.996	13.672	14.349	15.07	15.767	16.519	17.165	17.885	18.545	19.251	20.03	20.851	21.549	22.192	22.803	23.531	23.951	24.248	24.558	25.006	25.387	25.779	26.268	26.797	27.462	28.349	29.277	30.425	31.182	31.911	32.8	33.829	34.899	36.07	36.576
270	Gambia	11	3.604	3.722	3.837	3.958	4.102	4.26	4.404	4.513	4.55	4.455	4.138	3.853	4.316	4.491	4.669	4.85	5.036	5.223	5.416	5.615	5.818	6.027	6.243	6.46	6.678	6.914	7.149	7.383	7.612	7.885	8.17	8.488	8.808	9.234	9.638	10.04	10.434	10.873	11.349	11.858	12.405	13.009	13.686	14.35	15.025	15.713	16.463	17.109	17.828	18.488	19.193	19.971	20.789	21.485	22.127	22.739	23.465	23.887	24.184	24.494	24.942	25.323	25.715	26.204	26.733	27.397	28.283	29.212	30.359	31.116	31.847	32.741	33.77	34.839	36.011
270	Gambia	12	3.499	3.582	3.699	3.814	3.933	4.076	4.234	4.377	4.485	4.522	4.429	4.114	3.831	4.293	4.466	4.643	4.824	5.009	5.197	5.389	5.587	5.79	5.998	6.213	6.43	6.662	6.902	7.139	7.378	7.609	7.886	8.173	8.492	8.814	9.247	9.638	10.041	10.438	10.881	11.36	11.871	12.421	13.025	13.69	14.312	14.976	15.661	16.411	17.054	17.775	18.433	19.137	19.912	20.728	21.424	22.066	22.678	23.405	23.827	24.124	24.434	24.882	25.264	25.656	26.145	26.674	27.337	28.224	29.151	30.298	31.056	31.793	32.687	33.715	34.784
270	Gambia	13	3.419	3.48	3.562	3.678	3.792	3.911	4.054	4.211	4.353	4.461	4.498	4.405	4.094	3.813	4.272	4.445	4.621	4.801	4.986	5.173	5.365	5.563	5.766	5.974	6.188	6.416	6.651	6.894	7.135	7.377	7.613	7.891	8.178	8.5	8.829	9.247	9.64	10.046	10.447	10.893	11.374	11.887	12.438	13.03	13.657	14.263	14.924	15.608	16.357	17	17.719	18.376	19.077	19.851	20.667	21.363	22.005	22.619	23.345	23.767	24.064	24.375	24.823	25.205	25.597	26.087	26.614	27.277	28.164	29.09	30.237	31.002	31.739	32.631	33.659
270	Gambia	14	3.348	3.403	3.464	3.546	3.661	3.775	3.893	4.035	4.191	4.332	4.44	4.478	4.386	4.077	3.799	4.254	4.427	4.602	4.784	4.968	5.155	5.347	5.544	5.746	5.954	6.175	6.406	6.645	6.891	7.134	7.381	7.618	7.898	8.187	8.516	8.83	9.25	9.645	10.054	10.458	10.906	11.389	11.904	12.443	13.003	13.608	14.208	14.868	15.55	16.299	16.94	17.656	18.312	19.012	19.786	20.602	21.298	21.942	22.557	23.283	23.704	24.001	24.313	24.761	25.143	25.533	26.023	26.549	27.212	28.098	29.023	30.18	30.945	31.68	32.572
270	Gambia	15	3.277	3.338	3.393	3.453	3.534	3.649	3.762	3.88	4.021	4.176	4.317	4.425	4.462	4.372	4.065	3.789	4.242	4.414	4.591	4.773	4.956	5.142	5.333	5.531	5.733	5.942	6.166	6.399	6.642	6.891	7.138	7.387	7.624	7.907	8.204	8.516	8.832	9.254	9.652	10.064	10.47	10.92	11.404	11.907	12.422	12.952	13.548	14.147	14.805	15.487	16.232	16.871	17.585	18.238	18.939	19.712	20.53	21.23	21.874	22.49	23.214	23.634	23.932	24.244	24.692	25.072	25.46	25.949	26.475	27.136	28.021	28.961	30.117	30.876	31.611
270	Gambia	16	3.226	3.272	3.332	3.387	3.447	3.528	3.642	3.754	3.871	4.012	4.166	4.307	4.414	4.452	4.362	4.058	3.784	4.235	4.409	4.586	4.768	4.951	5.137	5.327	5.525	5.808	6.032	6.275	6.528	6.792	7.058	7.319	7.574	7.824	8.146	8.395	8.725	9.057	9.498	9.913	10.342	10.761	11.22	11.634	11.894	12.367	12.885	13.48	14.076	14.734	15.412	16.153	16.789	17.5	18.156	18.856	19.631	20.453	21.154	21.799	22.413	23.134	23.556	23.854	24.166	24.61	24.988	25.375	25.862	26.387	27.046	27.952	28.892	30.038	30.798
270	Gambia	17	3.157	3.227	3.272	3.333	3.387	3.447	3.527	3.641	3.752	3.869	4.009	4.163	4.303	4.41	4.448	4.359	4.057	3.785	4.238	4.412	4.589	4.771	4.953	5.139	5.329	5.606	5.903	6.147	6.412	6.687	6.969	7.25	7.517	7.786	8.078	8.359	8.629	8.977	9.329	9.789	10.223	10.666	11.095	11.476	11.628	11.834	12.293	12.809	13.401	13.995	14.65	15.324	16.06	16.693	17.406	18.062	18.766	19.545	20.369	21.071	21.713	22.325	23.046	23.468	23.764	24.073	24.514	24.89	25.275	25.76	26.282	26.968	27.873	28.802	29.948
270	Gambia	18	3.073	3.164	3.233	3.279	3.338	3.393	3.452	3.532	3.645	3.756	3.872	4.012	4.165	4.304	4.411	4.449	4.361	4.062	3.797	4.248	4.422	4.599	4.781	4.962	5.148	5.413	5.705	6.022	6.288	6.574	6.868	7.165	7.452	7.733	8.044	8.304	8.606	8.895	9.264	9.638	10.117	10.567	11.019	11.367	11.477	11.563	11.753	12.21	12.723	13.312	13.902	14.552	15.222	15.953	16.589	17.302	17.962	18.673	19.454	20.277	20.977	21.616	22.229	22.949	23.368	23.661	23.965	24.402	24.776	25.16	25.641	26.197	26.882	27.773	28.702
