country_code	country	age	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
270	Gambia	0	6.499	6.938	7.18	7.418	7.649	7.874	8.094	8.311	8.528	8.747	8.969	9.195	9.424	9.65	9.871	10.084	10.286	10.469	10.706	10.949	11.227	11.495	11.898	12.253	12.614	12.973	13.395	13.858	14.366	14.903	15.513	16.204	16.89	17.637	18.432	19.251	19.945	20.724	21.449	22.229	23.093	24.011	24.799	25.51	26.12	26.84	27.195	27.411	27.642	28.041	28.345	28.674	29.117	29.581	30.204	31.068	31.967	33.101	33.825	34.535	35.412	36.445	37.52	38.693	39.148	39.07	38.921	38.706	38.415	38.071	38.525	39.011	39.534	39.969	40.475
270	Gambia	1	5.941	5.625	6.014	6.235	6.453	6.667	6.872	7.078	7.288	7.498	7.712	7.932	8.155	8.384	8.609	8.83	9.048	9.251	9.442	9.68	9.925	10.201	10.471	10.865	11.217	11.599	11.961	12.389	12.855	13.356	13.899	14.503	15.182	15.863	16.611	17.356	18.17	18.868	19.647	20.383	21.182	22.064	22.998	23.787	24.461	25.073	25.817	26.215	26.473	26.755	27.184	27.534	27.901	28.377	28.877	29.528	30.416	31.344	32.498	33.249	33.98	34.875	35.928	37.019	38.206	38.682	38.629	38.504	38.312	38.043	37.72	38.202	38.7	39.224	39.674
270	Gambia	2	5.628	5.148	4.887	5.238	5.444	5.649	5.846	6.043	6.247	6.457	6.669	6.887	7.11	7.34	7.573	7.804	8.036	8.259	8.474	8.677	8.923	9.176	9.46	9.739	10.134	10.516	10.908	11.288	11.727	12.201	12.717	13.27	13.878	14.566	15.263	15.98	16.736	17.559	18.271	19.062	19.814	20.629	21.525	22.45	23.192	23.86	24.488	25.25	25.669	25.958	26.26	26.713	27.086	27.472	27.97	28.487	29.153	30.059	31.001	32.165	32.925	33.668	34.573	35.634	36.734	37.926	38.411	38.372	38.259	38.079	37.821	37.521	38.009	38.507	39.037
270	Gambia	3	5.28	5.197	4.76	4.525	4.855	5.051	5.246	5.435	5.627	5.828	6.034	6.245	6.461	6.683	6.911	7.143	7.376	7.606	7.831	8.048	8.255	8.501	8.756	9.04	9.321	9.737	10.123	10.522	10.908	11.352	11.833	12.354	12.909	13.522	14.22	14.887	15.609	16.369	17.196	17.916	18.714	19.473	20.293	21.172	22.04	22.768	23.439	24.077	24.844	25.28	25.582	25.899	26.363	26.748	27.15	27.66	28.188	28.868	29.783	30.732	31.898	32.664	33.415	34.326	35.392	36.494	37.689	38.181	38.151	38.047	37.874	37.636	37.345	37.833	38.336
270	Gambia	4	4.962	5.046	4.969	4.555	4.333	4.651	4.84	5.029	5.214	5.403	5.601	5.804	6.012	6.225	6.445	6.671	6.902	7.132	7.361	7.585	7.802	8.009	8.254	8.508	8.79	9.094	9.51	9.9	10.303	10.692	11.141	11.625	12.147	12.705	13.328	13.996	14.666	15.392	16.154	16.983	17.707	18.507	19.268	20.069	20.889	21.738	22.462	23.137	23.777	24.548	24.99	25.301	25.625	26.096	26.491	26.903	27.42	27.958	28.645	29.565	30.515	31.682	32.453	33.207	34.122	35.188	36.291	37.485	37.982	37.958	37.861	37.705	37.474	37.185	37.677
270	Gambia	5	4.673	4.83	4.913	4.839	4.438	4.223	4.533	4.719	4.904	5.086	5.273	5.468	5.669	5.874	6.086	6.303	6.527	6.755	6.984	7.213	7.435	7.65	7.856	8.1	8.352	8.656	8.962	9.381	9.774	10.178	10.572	11.024	11.508	12.033	12.6	13.196	13.867	14.539	15.266	16.032	16.862	17.587	18.387	19.127	19.87	20.672	21.514	22.238	22.91	23.553	24.325	24.77	25.084	25.414	25.891	26.292	26.71	27.235	27.777	28.467	29.387	30.338	31.507	32.279	33.034	33.949	35.015	36.117	37.31	37.809	37.79	37.707	37.556	37.327	37.044
270	Gambia	6	4.411	4.594	4.749	4.831	4.76	4.366	4.155	4.46	4.643	4.826	5.007	5.192	5.385	5.584	5.788	5.997	6.213	6.435	6.662	6.889	7.116	7.337	7.552	7.757	7.999	8.271	8.577	8.887	9.309	9.704	10.112	10.508	10.961	11.447	11.982	12.525	13.123	13.796	14.47	15.2	15.967	16.796	17.521	18.301	18.983	19.711	20.506	21.345	22.066	22.739	23.381	24.152	24.597	24.915	25.25	25.731	26.135	26.559	27.087	27.632	28.322	29.243	30.194	31.361	32.133	32.889	33.801	34.866	35.967	37.158	37.66	37.653	37.574	37.425	37.2
270	Gambia	7	4.173	4.36	4.542	4.694	4.776	4.706	4.317	4.109	4.411	4.592	4.774	4.953	5.137	5.329	5.527	5.728	5.937	6.151	6.372	6.598	6.824	7.049	7.269	7.483	7.687	7.949	8.223	8.533	8.846	9.269	9.668	10.079	10.476	10.932	11.426	11.94	12.487	13.086	13.761	14.439	15.17	15.937	16.764	17.471	18.194	18.863	19.585	20.377	21.211	21.931	22.603	23.245	24.014	24.459	24.781	25.12	25.603	26.012	26.438	26.967	27.513	28.204	29.124	30.075	31.24	32.011	32.765	33.676	34.739	35.839	37.029	37.539	37.535	37.457	37.311
270	Gambia	8	3.973	4.137	4.323	4.503	4.654	4.735	4.666	4.281	4.075	4.375	4.555	4.736	4.914	5.096	5.287	5.483	5.684	5.891	6.105	6.325	6.55	6.774	6.999	7.217	7.43	7.655	7.919	8.196	8.509	8.825	9.253	9.654	10.065	10.464	10.929	11.405	11.922	12.472	13.073	13.751	14.43	15.162	15.928	16.736	17.389	18.1	18.764	19.482	20.271	21.104	21.823	22.494	23.133	23.902	24.349	24.674	25.015	25.501	25.911	26.34	26.869	27.415	28.107	29.026	29.975	31.137	31.907	32.661	33.571	34.631	35.731	36.926	37.437	37.433	37.358
270	Gambia	9	3.808	3.945	4.108	4.293	4.471	4.622	4.702	4.633	4.252	4.048	4.345	4.525	4.705	4.882	5.063	5.253	5.449	5.648	5.855	6.069	6.287	6.511	6.735	6.958	7.177	7.407	7.635	7.903	8.184	8.5	8.819	9.248	9.65	10.065	10.472	10.921	11.4	11.918	12.471	13.076	13.756	14.436	15.167	15.916	16.671	17.313	18.019	18.681	19.397	20.184	21.015	21.732	22.402	23.04	23.81	24.26	24.586	24.93	25.417	25.829	26.257	26.786	27.333	28.025	28.942	29.89	31.05	31.818	32.571	33.479	34.54	35.644	36.839	37.349	37.347
