country_code	country	age	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
270	Gambia	0	40.629	40.721	40.776	40.829	40.885	40.931	40.999	41.07	41.158	41.284	41.392	41.502	41.602	41.734	41.873	41.981	42.056	42.131	42.215	42.239	42.222	42.176	42.15	42.151	42.055	41.928	41.842	41.74	41.617	41.493	41.317	41.196	41.095	40.96	40.85	40.744	40.636	40.534	40.358	40.228	40.091	39.98	39.767	39.637	39.492	39.342	39.254	39.06	38.911	38.74	38.629	38.452	38.28	38.092	37.909	37.715	37.523	37.317	37.089	36.847	36.614	36.383	36.168	35.997	35.829	35.64	35.501	35.326	35.126	34.933	34.745	34.508	34.303	34.127	33.976	33.751	33.577
270	Gambia	1	40.167	40.326	40.425	40.485	40.548	40.608	40.659	40.733	40.813	40.906	41.035	41.148	41.264	41.368	41.51	41.649	41.761	41.836	41.92	42.006	42.032	42.02	41.977	41.957	41.959	41.868	41.746	41.662	41.563	41.442	41.33	41.151	41.034	40.939	40.804	40.701	40.601	40.501	40.399	40.224	40.098	39.966	39.853	39.638	39.515	39.368	39.221	39.132	38.941	38.8	38.631	38.521	38.343	38.176	37.993	37.807	37.615	37.425	37.221	36.996	36.759	36.529	36.296	36.089	35.92	35.75	35.561	35.421	35.252	35.054	34.855	34.673	34.44	34.236	34.065	33.919	33.688
270	Gambia	2	39.472	39.966	40.129	40.229	40.294	40.358	40.42	40.475	40.555	40.637	40.731	40.863	40.979	41.097	41.207	41.348	41.49	41.601	41.683	41.767	41.854	41.883	41.872	41.833	41.814	41.819	41.731	41.611	41.529	41.43	41.319	41.204	41.029	40.917	40.821	40.692	40.594	40.5	40.399	40.297	40.127	40.005	39.871	39.755	39.546	39.421	39.277	39.128	39.041	38.858	38.718	38.55	38.438	38.264	38.102	37.916	37.731	37.542	37.353	37.15	36.93	36.696	36.464	36.237	36.032	35.862	35.691	35.5	35.365	35.199	34.996	34.801	34.622	34.391	34.191	34.024	33.872
270	Gambia	3	38.851	39.287	39.782	39.947	40.053	40.119	40.185	40.25	40.31	40.392	40.475	40.573	40.708	40.825	40.949	41.059	41.202	41.343	41.46	41.542	41.628	41.717	41.747	41.74	41.702	41.685	41.693	41.607	41.488	41.407	41.317	41.203	41.091	40.921	40.808	40.718	40.593	40.501	40.407	40.306	40.208	40.041	39.917	39.781	39.67	39.46	39.337	39.191	39.045	38.964	38.782	38.643	38.474	38.366	38.196	38.03	37.846	37.664	37.475	37.287	37.089	36.872	36.636	36.41	36.185	35.978	35.807	35.635	35.449	35.317	35.145	34.946	34.754	34.577	34.349	34.153	33.981
270	Gambia	4	38.166	38.681	39.12	39.615	39.784	39.891	39.959	40.028	40.098	40.16	40.244	40.33	40.43	40.566	40.69	40.813	40.926	41.067	41.214	41.331	41.414	41.502	41.592	41.626	41.62	41.584	41.57	41.579	41.494	41.376	41.304	41.211	41.1	40.992	40.821	40.714	40.627	40.508	40.415	40.321	40.224	40.129	39.96	39.835	39.703	39.591	39.383	39.259	39.115	38.975	38.895	38.713	38.573	38.407	38.303	38.13	37.966	37.783	37.602	37.415	37.231	37.036	36.816	36.586	36.361	36.135	35.928	35.756	35.588	35.404	35.267	35.099	34.903	34.713	34.539	34.314	34.114
270	Gambia	5	37.522	38.012	38.529	38.968	39.467	39.637	39.745	39.816	39.89	39.962	40.025	40.111	40.2	40.301	40.443	40.566	40.692	40.803	40.95	41.097	41.214	41.3	41.389	41.482	41.516	41.512	41.479	41.466	41.476	41.392	41.282	41.207	41.117	41.01	40.901	40.735	40.631	40.549	40.43	40.337	40.246	40.152	40.056	39.885	39.764	39.631	39.521	39.311	39.189	39.05	38.911	38.832	38.65	38.512	38.35	38.243	38.071	37.909	37.727	37.547	37.363	37.182	36.984	36.77	36.541	36.315	36.089	35.88	35.712	35.547	35.359	35.225	35.06	34.865	34.677	34.506	34.278
270	Gambia	6	36.905	37.385	37.876	38.394	38.836	39.335	39.506	39.617	39.692	39.767	39.84	39.906	39.994	40.084	40.191	40.332	40.457	40.581	40.697	40.845	40.992	41.112	41.198	41.29	41.383	41.419	41.417	41.385	41.374	41.384	41.307	41.195	41.122	41.035	40.928	40.823	40.66	40.561	40.479	40.359	40.269	40.181	40.085	39.987	39.821	39.698	39.567	39.456	39.248	39.131	38.993	38.854	38.774	38.595	38.46	38.295	38.189	38.019	37.858	37.677	37.5	37.318	37.136	36.942	36.729	36.5	36.273	36.046	35.841	35.675	35.505	35.32	35.189	35.025	34.832	34.648	34.473
270	Gambia	7	37.076	36.784	37.265	37.757	38.277	38.719	39.218	39.391	39.506	39.582	39.659	39.734	39.802	39.891	39.986	40.092	40.235	40.359	40.488	40.604	40.752	40.901	41.021	41.11	41.202	41.297	41.335	41.334	41.303	41.292	41.309	41.23	41.119	41.049	40.962	40.858	40.757	40.598	40.498	40.416	40.299	40.212	40.122	40.024	39.93	39.762	39.641	39.509	39.399	39.196	39.079	38.942	38.802	38.724	38.548	38.411	38.247	38.143	37.973	37.813	37.635	37.46	37.276	37.098	36.905	36.691	36.462	36.234	36.01	35.807	35.637	35.471	35.288	35.157	34.996	34.806	34.618
270	Gambia	8	37.202	36.969	36.68	37.161	37.655	38.175	38.618	39.117	39.294	39.41	39.487	39.566	39.643	39.712	39.805	39.899	40.007	40.149	40.277	40.406	40.523	40.672	40.821	40.944	41.033	41.126	41.223	41.262	41.262	41.231	41.226	41.24	41.163	41.055	40.985	40.901	40.799	40.701	40.542	40.442	40.362	40.248	40.159	40.067	39.973	39.878	39.711	39.589	39.458	39.352	39.15	39.033	38.895	38.758	38.682	38.504	38.368	38.205	38.101	37.933	37.775	37.598	37.422	37.242	37.065	36.872	36.657	36.426	36.202	35.98	35.773	35.606	35.441	35.26	35.131	34.972	34.779
270	Gambia	9	37.261	37.107	36.877	36.59	37.073	37.567	38.087	38.53	39.033	39.21	39.327	39.406	39.485	39.564	39.636	39.729	39.825	39.932	40.077	40.205	40.334	40.453	40.602	40.753	40.876	40.966	41.061	41.158	41.198	41.198	41.172	41.165	41.181	41.105	40.997	40.93	40.849	40.75	40.652	40.493	40.395	40.317	40.201	40.11	40.022	39.927	39.832	39.665	39.544	39.417	39.311	39.109	38.992	38.856	38.72	38.643	38.465	38.331	38.168	38.065	37.899	37.742	37.564	37.391	37.213	37.034	36.841	36.625	36.397	36.175	35.949	35.745	35.58	35.416	35.236	35.11	34.948
270	Gambia	10	37.261	37.177	37.025	36.796	36.512	36.995	37.489	38.01	38.456	38.958	39.136	39.254	39.335	39.415	39.497	39.569	39.663	39.758	39.868	40.013	40.142	40.272	40.39	40.542	40.693	40.817	40.908	41.003	41.101	41.14	41.145	41.118	41.112	41.129	41.054	40.949	40.883	40.805	40.706	40.608	40.45	40.354	40.275	40.157	40.069	39.98	39.886	39.79	39.624	39.506	39.38	39.274	39.071	38.956	38.822	38.685	38.608	38.431	38.297	38.135	38.034	37.869	37.711	37.537	37.364	37.185	37.006	36.812	36.599	36.372	36.147	35.923	35.721	35.556	35.394	35.216	35.087
270	Gambia	11	37.196	37.185	37.102	36.951	36.726	36.443	36.926	37.42	37.943	38.389	38.892	39.071	39.19	39.271	39.355	39.436	39.509	39.602	39.7	39.81	39.956	40.085	40.215	40.335	40.487	40.639	40.763	40.855	40.951	41.049	41.092	41.095	41.069	41.065	41.082	41.009	40.906	40.843	40.764	40.665	40.568	40.413	40.315	40.234	40.119	40.031	39.942	39.847	39.752	39.589	39.472	39.345	39.239	39.038	38.924	38.789	38.652	38.576	38.4	38.266	38.106	38.006	37.84	37.685	37.511	37.338	37.158	36.979	36.787	36.575	36.346	36.122	35.9	35.699	35.536	35.376	35.195
270	Gambia	12	36.623	37.124	37.114	37.033	36.885	36.66	36.378	36.861	37.358	37.881	38.327	38.83	39.01	39.13	39.214	39.297	39.379	39.451	39.547	39.645	39.755	39.902	40.031	40.163	40.283	40.435	40.588	40.714	40.806	40.901	41.003	41.045	41.049	41.024	41.02	41.039	40.968	40.867	40.804	40.725	40.627	40.532	40.375	40.276	40.198	40.082	39.994	39.905	39.81	39.719	39.556	39.439	39.311	39.207	39.008	38.893	38.757	38.622	38.546	38.37	38.238	38.079	37.978	37.815	37.66	37.486	37.312	37.132	36.954	36.764	36.55	36.322	36.1	35.879	35.679	35.517	35.355
270	Gambia	13	35.371	36.553	37.055	37.046	36.967	36.819	36.595	36.315	36.8	37.297	37.82	38.266	38.77	38.951	39.073	39.156	39.241	39.322	39.397	39.493	39.591	39.702	39.849	39.98	40.112	40.232	40.385	40.539	40.664	40.757	40.856	40.956	40.999	41.004	40.979	40.977	40.998	40.929	40.828	40.764	40.686	40.591	40.494	40.336	40.239	40.16	40.045	39.957	39.868	39.776	39.685	39.522	39.405	39.279	39.176	38.975	38.861	38.726	38.591	38.515	38.341	38.21	38.051	37.952	37.789	37.634	37.46	37.285	37.107	36.931	36.738	36.525	36.299	36.078	35.858	35.66	35.496
270	Gambia	14	34.206	35.3	36.482	36.984	36.978	36.899	36.753	36.53	36.253	36.738	37.234	37.758	38.205	38.709	38.892	39.013	39.098	39.182	39.265	39.34	39.437	39.536	39.647	39.795	39.926	40.058	40.18	40.334	40.487	40.613	40.709	40.806	40.907	40.952	40.957	40.934	40.933	40.956	40.887	40.786	40.724	40.647	40.55	40.453	40.297	40.2	40.121	40.005	39.918	39.832	39.74	39.649	39.486	39.37	39.246	39.141	38.941	38.827	38.693	38.558	38.485	38.312	38.18	38.022	37.924	37.761	37.606	37.431	37.258	37.081	36.902	36.711	36.5	36.275	36.055	35.837	35.636
270	Gambia	15	33.072	34.131	35.225	36.406	36.909	36.903	36.826	36.681	36.461	36.184	36.67	37.166	37.69	38.137	38.643	38.826	38.948	39.032	39.118	39.202	39.278	39.375	39.474	39.586	39.735	39.866	40	40.122	40.276	40.429	40.558	40.652	40.751	40.853	40.897	40.905	40.883	40.885	40.907	40.838	40.738	40.678	40.6	40.503	40.407	40.251	40.154	40.075	39.96	39.875	39.789	39.698	39.606	39.445	39.33	39.205	39.101	38.901	38.788	38.654	38.521	38.449	38.275	38.145	37.989	37.89	37.727	37.571	37.398	37.227	37.047	36.87	36.68	36.47	36.246	36.028	35.808
