country_code	country	age	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
854	Burkina Faso	0	0.18718283	0.18610801	0.18505022	0.18396626	0.18285232	0.18170017	0.18050851	0.1792861	0.17804422	0.17682987	0.17563751	0.17447478	0.17335827	0.17230539	0.17131838	0.17038823	0.16950816	0.16864951	0.16776196	0.16699688	0.16564093	0.16446041	0.16244459	0.16036267	0.15766095	0.15465289	0.15141863	0.14796711	0.14460505	0.14150569	0.13850242	0.13632034	0.1335391	0.13143273	0.12933331	0.1273967	0.12554221	0.12398075	0.12273508	0.12175855	0.12104378	0.12049233	0.11992196	0.11937028	0.11872574	0.1178825	0.11679551	0.11607719	0.11402487	0.11236269	0.11051163	0.10844456	0.106423	0.10377554	0.10081157	0.09766651	0.09456097	0.09141001	0.08789186	0.08481018	0.0819313	0.07906456	0.07651604	0.07408741	0.07177772	0.06957146	0.06744194	0.06536251	0.0633545	0.06158595	0.05968079	0.05781374	0.05617684	0.05463497	0.0566642	0.05580298	0.05500279	0.05414688	0.05332365	0.05253264	0.05168597	0.05082803	0.05007793	0.04926984	0.0485142	0.04781938	0.04712425	0.0464757	0.04576841	0.04508613	0.04442464	0.04383351	0.04320404	0.04261857	0.04198527	0.04140134	0.04083366	0.04024901	0.03969363	0.03913322	0.03864131	0.03807689	0.03754811	0.03706722	0.03659968	0.0361651	0.03571087	0.03526453	0.03481113	0.0343604	0.03386782	0.03344745	0.0330015	0.03258433	0.03216648	0.03177873	0.03141284	0.03091283	0.03047139	0.03006653	0.02961946	0.02914715	0.0287086	0.02830412	0.02792865	0.02754733	0.02713162	0.02676815	0.02638355	0.02606297	0.02568346	0.02533141	0.02502754	0.02468809	0.02437093	0.02408029	0.02377149	0.02347192	0.02320405	0.02287272	0.02256557	0.02228373	0.02199604	0.02171732	0.02144451	0.02119891	0.02092277	0.02070237	0.02044193	0.02019055	0.01995319
854	Burkina Faso	1	0.14951059	0.14605948	0.14349341	0.14047941	0.13753504	0.13460755	0.13160407	0.12839156	0.1255458	0.12283081	0.12005308	0.11798185	0.11551913	0.11357666	0.11198856	0.11028691	0.10878565	0.10734351	0.10598424	0.10474944	0.10273782	0.10095345	0.09840966	0.09508477	0.09096037	0.08667268	0.08201407	0.07736308	0.07301989	0.06920139	0.06563268	0.06302461	0.06015997	0.0578102	0.05550757	0.0532868	0.05113401	0.04931809	0.04780636	0.04665549	0.04583003	0.04522878	0.0445951	0.04397775	0.0432901	0.0424384	0.04146397	0.04075664	0.03902437	0.03767506	0.03623009	0.03466567	0.03320636	0.03140254	0.02939473	0.0274006	0.02567335	0.02393558	0.02202519	0.02048263	0.0191155	0.01772818	0.01663917	0.01560737	0.01467745	0.01380162	0.01303935	0.01230423	0.01163765	0.01111503	0.01051727	0.00994576	0.00953552	0.00918094	0.01038336	0.01022671	0.01008102	0.00992459	0.00977305	0.00962654	0.00947111	0.00931326	0.00917384	0.00901875	0.00887253	0.00873737	0.00860202	0.00847524	0.00833479	0.00819938	0.00806711	0.00794713	0.00781947	0.00770054	0.00756925	0.00744745	0.00732981	0.00720738	0.007089	0.00697168	0.0068669	0.00674619	0.00663134	0.00652687	0.00642405	0.00632682	0.00622537	0.00612703	0.00602276	0.00592037	0.00580772	0.00570962	0.00560929	0.00551107	0.0054095	0.00531955	0.00523186	0.00512607	0.0050341	0.0049463	0.00485084	0.00474782	0.00465266	0.00456166	0.00447602	0.0043909	0.00429735	0.00420922	0.00412205	0.00404309	0.00395385	0.00387093	0.00379567	0.00370838	0.00362985	0.00355823	0.00348572	0.00341453	0.0033488	0.00327196	0.00320293	0.0031361	0.00307094	0.0030066	0.00294073	0.00288216	0.00281766	0.0027629	0.00269861	0.00263848	0.00257847
854	Burkina Faso	2	0.08389071	0.08218044	0.08097623	0.07951307	0.07810178	0.07670015	0.0752621	0.07368785	0.07228965	0.07092011	0.0694723	0.06836387	0.06698079	0.0658493	0.06488638	0.0638197	0.06286091	0.06191938	0.06102718	0.06018844	0.05884345	0.05774634	0.05621983	0.05437451	0.05205997	0.04969051	0.04715283	0.04465879	0.04232103	0.04028869	0.0383456	0.03699591	0.03537435	0.03416738	0.03302778	0.03201273	0.03106562	0.03030961	0.02968573	0.02922329	0.02888403	0.02864563	0.02837456	0.02811653	0.02780972	0.02741837	0.02693925	0.02668855	0.0256487	0.02490401	0.02409185	0.02320923	0.02241617	0.02136626	0.02016387	0.01895441	0.01792362	0.0168581	0.01564034	0.01468241	0.01382159	0.0129206	0.01222782	0.01157364	0.01097311	0.01039668	0.00988792	0.00939484	0.00893613	0.00856734	0.00814877	0.00774779	0.00744823	0.00718493	0.00796783	0.00784875	0.00773685	0.00761666	0.00750071	0.0073886	0.00727004	0.00714962	0.00704338	0.00692418	0.00681199	0.00670826	0.00660444	0.00650717	0.00639951	0.00629574	0.00619435	0.00610245	0.00600472	0.00591368	0.00581327	0.00572016	0.00563007	0.00553649	0.00544607	0.00535635	0.00527633	0.00518413	0.00509647	0.00501677	0.00493825	0.00486422	0.00478686	0.00471193	0.00463249	0.00455456	0.00446872	0.00439414	0.00431778	0.00424313	0.00416588	0.00409779	0.00403142	0.00395226	0.00388354	0.00381784	0.00374642	0.00366911	0.00359776	0.00352952	0.00346531	0.00340145	0.00333131	0.00326508	0.00319956	0.00314028	0.00307327	0.00301088	0.00295439	0.00288869	0.00282961	0.00277588	0.00272136	0.0026679	0.00261839	0.00256034	0.00250807	0.00245725	0.00240788	0.00235922	0.002309	0.00226453	0.00221566	0.00217406	0.002125	0.00207929	0.00203338
854	Burkina Faso	3	0.0478772	0.04704269	0.04647974	0.04577261	0.04509721	0.04442969	0.04374549	0.0429737	0.0422869	0.04159239	0.04082922	0.04022725	0.03943774	0.03876868	0.03817821	0.03750537	0.03689172	0.03627892	0.03569605	0.03514669	0.03424681	0.03358168	0.03264411	0.03160992	0.03028596	0.02895456	0.02755131	0.02619585	0.02492068	0.02383199	0.02275512	0.02207542	0.02112299	0.02050727	0.01994932	0.01951536	0.01913927	0.01887963	0.01867466	0.01853378	0.01842491	0.01835765	0.01826144	0.01817667	0.01806076	0.01790199	0.01768174	0.01766862	0.01701963	0.01661545	0.01616468	0.01567395	0.01526764	0.01466056	0.0139405	0.01320708	0.01260444	0.01196212	0.01117795	0.01059066	0.01005439	0.00946677	0.00903214	0.00862271	0.00823979	0.00786445	0.00752824	0.00720003	0.0068871	0.00663712	0.00634461	0.00606218	0.00585216	0.00566783	0.00613732	0.00604599	0.00596056	0.00586801	0.00577869	0.00569262	0.00560184	0.00550961	0.0054284	0.00533646	0.00525002	0.00517015	0.00509027	0.00501533	0.00493248	0.00485271	0.00477476	0.00470408	0.00462901	0.00455905	0.00448197	0.00441057	0.0043414	0.00426958	0.00420021	0.00413147	0.00407014	0.00399945	0.00393234	0.00387135	0.00381122	0.00375462	0.00369549	0.00363823	0.00357749	0.00351799	0.0034524	0.00339551	0.00333723	0.00328031	0.00322137	0.00316972	0.00311936	0.00305995	0.0030085	0.00295927	0.00290566	0.00284754	0.00279396	0.00274267	0.00269443	0.00264646	0.00259375	0.00254386	0.00249451	0.00244997	0.00239955	0.00235249	0.00231003	0.00226054	0.00221596	0.00217562	0.00213458	0.00209431	0.00205698	0.00201305	0.00197338	0.00193469	0.00189721	0.00186032	0.00182198	0.00178816	0.00175107	0.00171941	0.00168192	0.00164711	0.00161197
854	Burkina Faso	4	0.028267	0.02784716	0.02758747	0.02723977	0.02691219	0.02658944	0.02625909	0.02587212	0.02552736	0.02516533	0.02474999	0.02441199	0.0239463	0.02353895	0.02316811	0.02273587	0.02233726	0.02193426	0.02155006	0.02119493	0.02058605	0.02018193	0.01958743	0.01899283	0.01820842	0.01743473	0.01663271	0.01587152	0.01515286	0.0145544	0.01393514	0.0135992	0.01301058	0.01269284	0.01241715	0.01224828	0.0121251	0.01207854	0.01205347	0.01204877	0.01203933	0.01204471	0.01202613	0.01201758	0.01198958	0.01194073	0.0118488	0.01194081	0.01151726	0.01129877	0.01104838	0.01077608	0.01058171	0.01022841	0.0097917	0.00934162	0.00899243	0.00860659	0.00809298	0.00773329	0.00739908	0.00701171	0.00673998	0.00648507	0.00624192	0.00599799	0.00577608	0.00555776	0.00534433	0.00517768	0.00497268	0.00477274	0.00462767	0.00450151	0.00476081	0.00469007	0.00462412	0.00455289	0.0044837	0.00441701	0.00434708	0.00427597	0.00421344	0.00414209	0.00407504	0.00401311	0.00395123	0.00389315	0.00382894	0.00376717	0.00370687	0.00365219	0.00359411	0.00354	0.0034804	0.00342526	0.00337183	0.00331638	0.00326278	0.00320971	0.00316248	0.00310789	0.00305614	0.00300918	0.00296285	0.0029193	0.00287376	0.00282975	0.00278303	0.00273726	0.00268682	0.00264315	0.00259834	0.00255467	0.00250943	0.00246996	0.00243153	0.0023867	0.00234793	0.00231083	0.00227039	0.00222642	0.00218595	0.00214722	0.00211074	0.0020745	0.00203469	0.00199692	0.00195952	0.00192586	0.00188773	0.00185204	0.00181992	0.00178244	0.00174866	0.00171816	0.00168713	0.00165664	0.0016283	0.0015949	0.00156465	0.00153506	0.00150645	0.00147833	0.00144895	0.00142309	0.00139481	0.00137062	0.00134184	0.00131519	0.00128821
854	Burkina Faso	5	0.01758313	0.01735714	0.0172296	0.01705113	0.01688726	0.0167244	0.01655808	0.01635354	0.01617119	0.0159717	0.01573248	0.01553203	0.01524328	0.01498402	0.01474213	0.01445537	0.01418879	0.01391696	0.01365744	0.01342615	0.01300408	0.01275384	0.01235982	0.01200289	0.01151376	0.0110404	0.01055733	0.01010617	0.00967874	0.00933342	0.00895634	0.0087919	0.00840456	0.00823446	0.00809267	0.00803746	0.00801688	0.00805026	0.00809164	0.0081357	0.00816295	0.00819398	0.0082057	0.008226	0.00823407	0.0082325	0.00820018	0.00832738	0.0080357	0.00791549	0.00777331	0.00761925	0.00753485	0.0073236	0.00705028	0.00676572	0.00656159	0.00632651	0.00598001	0.00575618	0.00554437	0.00528292	0.00511091	0.00495062	0.00479458	0.00463413	0.00448595	0.00433909	0.00419188	0.00408071	0.0039353	0.00379203	0.00369167	0.0036056	0.00373383	0.0036786	0.00362702	0.00357144	0.0035176	0.00346542	0.00341085	0.00335548	0.00330682	0.00325086	0.00319831	0.00314978	0.00310132	0.00305583	0.00300556	0.00295721	0.00291004	0.0028673	0.00282189	0.00277958	0.00273301	0.00268995	0.00264822	0.00260496	0.00256314	0.00252168	0.00248488	0.00244234	0.002402	0.0023654	0.00232934	0.00229547	0.00226003	0.00222579	0.0021895	0.00215392	0.00211468	0.00208077	0.00204596	0.00201206	0.00197697	0.00194648	0.0019168	0.00188265	0.00185314	0.00182486	0.00179403	0.00176045	0.00172954	0.00170002	0.00167216	0.00164448	0.00161409	0.00158523	0.00155659	0.00153087	0.00150171	0.0014744	0.00144985	0.00142116	0.0013953	0.00137201	0.00134826	0.00132496	0.00130324	0.00127757	0.00125429	0.0012315	0.00120944	0.0011878	0.00116513	0.00114517	0.00112338	0.00110474	0.00108252	0.00106192	0.00104105
854	Burkina Faso	6	0.01170603	0.01157274	0.01150454	0.01140105	0.01131156	0.01122516	0.01113434	0.01101713	0.01091195	0.01079233	0.01064313	0.01051514	0.01032399	0.01014914	0.00998315	0.00978401	0.00959788	0.00940706	0.00922476	0.00907066	0.00876651	0.00860662	0.00833039	0.00810319	0.00777751	0.0074678	0.00715587	0.00686816	0.00659466	0.00638104	0.00613342	0.00605411	0.00577955	0.00568235	0.00560307	0.00559283	0.00560818	0.0056639	0.00572246	0.00577745	0.00581394	0.00585019	0.00587085	0.00589879	0.00591877	0.00593464	0.00592763	0.00605942	0.00584403	0.0057744	0.0056893	0.00559758	0.00556785	0.00543422	0.00525319	0.00506344	0.00494039	0.00479215	0.00454674	0.00440203	0.00426262	0.00407834	0.00396549	0.00386115	0.00375767	0.00364864	0.00354674	0.00344504	0.0033408	0.00326552	0.0031597	0.00305446	0.00298413	0.00292498	0.00297746	0.00293375	0.00289295	0.00284889	0.00280632	0.00276517	0.00272193	0.00267805	0.0026396	0.0025951	0.00255334	0.00251478	0.00247628	0.00244014	0.00240023	0.00236184	0.00232438	0.00229047	0.00225446	0.00222088	0.00218394	0.0021498	0.00211669	0.00208241	0.00204929	0.00201643	0.00198727	0.00195356	0.00192166	0.00189267	0.00186414	0.00183737	0.00180934	0.00178227	0.00175358	0.00172547	0.00169445	0.00166766	0.00164014	0.00161337	0.00158568	0.00156168	0.00153831	0.00151169	0.00148874	0.00146669	0.00144263	0.00141644	0.00139232	0.0013693	0.00134758	0.00132598	0.00130226	0.00127975	0.00125738	0.0012373	0.00121451	0.00119317	0.00117403	0.00115164	0.00113141	0.00111325	0.0010947	0.0010765	0.00105954	0.00103945	0.00102117	0.00100334	0.00098602	0.00096906	0.0009513	0.00093564	0.00091854	0.00090394	0.00088653	0.00087036	0.00085399
854	Burkina Faso	7	0.00844462	0.00835604	0.00831417	0.00824682	0.00818784	0.00813458	0.00808092	0.00800513	0.0079373	0.00785716	0.0077544	0.00766505	0.00752831	0.00740194	0.00728082	0.00713445	0.00699716	0.00685606	0.00672124	0.00661579	0.00638448	0.00627891	0.00607154	0.00591657	0.00568209	0.00546256	0.00524362	0.00504311	0.00485184	0.00470772	0.00452956	0.00449419	0.00428166	0.00422065	0.0041696	0.00417433	0.00419741	0.00425267	0.00430896	0.00436024	0.00439504	0.0044288	0.00444936	0.00447632	0.00449774	0.00451776	0.00451966	0.00464714	0.0044727	0.00442809	0.00437222	0.00431224	0.00430918	0.00421666	0.00408598	0.00394883	0.00387058	0.00377162	0.00358529	0.0034856	0.00338791	0.00324912	0.00317007	0.00309742	0.00302443	0.00294601	0.00287223	0.00279822	0.00272108	0.0026681	0.00258796	0.0025077	0.00245683	0.00241513	0.00242744	0.00239208	0.00235908	0.00232346	0.00228898	0.00225574	0.00222093	0.00218537	0.00215422	0.00211807	0.00208413	0.00205283	0.00202157	0.00199223	0.00195983	0.00192868	0.00189828	0.00187078	0.00184157	0.00181435	0.00178438	0.00175669	0.00172986	0.00170207	0.00167525	0.00164863	0.00162503	0.00159769	0.00157187	0.00154843	0.00152535	0.00150369	0.00148103	0.00145913	0.00143594	0.0014132	0.00138814	0.00136648	0.00134421	0.00132259	0.00130025	0.0012809	0.00126208	0.00124086	0.00122258	0.00120501	0.00118579	0.00116488	0.00114562	0.00112729	0.00110993	0.00109269	0.00107375	0.00105578	0.0010379	0.00102186	0.00100362	0.00098654	0.00097126	0.00095339	0.00093721	0.00092267	0.00090784	0.00089328	0.0008797	0.00086364	0.00084899	0.00083474	0.00082085	0.00080726	0.00079307	0.00078052	0.00076681	0.00075512	0.00074122	0.00072826	0.00071519
854	Burkina Faso	8	0.00661191	0.00654512	0.00651483	0.00646453	0.00642076	0.00637925	0.00634073	0.00628732	0.00623732	0.00617755	0.00609919	0.00603082	0.00592488	0.00582673	0.00573234	0.00561795	0.00551045	0.00539989	0.00529427	0.00521934	0.00503334	0.00496067	0.00479435	0.00468037	0.00449772	0.00432883	0.00416133	0.00400819	0.00386161	0.00375469	0.00361442	0.00360173	0.0034241	0.00338107	0.00334232	0.00334983	0.00337032	0.00341786	0.00346592	0.00350936	0.00353914	0.00356824	0.00358574	0.0036089	0.00362793	0.00364686	0.00365051	0.003771	0.0036187	0.00358597	0.00354471	0.00350038	0.00350929	0.0034382	0.00333463	0.00322628	0.00317218	0.00310052	0.00294864	0.002874	0.00279982	0.00268752	0.00262723	0.00257188	0.00251599	0.00245528	0.00239818	0.0023407	0.00228022	0.00224005	0.00217635	0.00211236	0.00207323	0.00204183	0.00203663	0.00200721	0.00197973	0.00195008	0.00192141	0.00189368	0.00186478	0.00183535	0.00180932	0.001779	0.00175064	0.00172447	0.00169834	0.00167384	0.00164678	0.00162075	0.00159537	0.00157243	0.00154803	0.00152531	0.00150032	0.00147722	0.00145483	0.00143165	0.0014093	0.0013871	0.00136745	0.00134466	0.00132313	0.0013036	0.00128443	0.00126638	0.00124751	0.00122928	0.00121001	0.00119108	0.00117023	0.00115222	0.00113368	0.00111567	0.00109713	0.00108109	0.00106548	0.00104806	0.00103308	0.00101866	0.00100287	0.00098569	0.00096985	0.00095482	0.00094055	0.00092637	0.0009108	0.00089604	0.00088132	0.00086814	0.00085311	0.00083905	0.00082647	0.00081177	0.00079847	0.00078647	0.00077423	0.00076223	0.00075103	0.0007378	0.00072573	0.00071404	0.00070254	0.00069134	0.00067972	0.00066937	0.00065805	0.00064843	0.00063703	0.00062633	0.00061563
854	Burkina Faso	9	0.00560511	0.00554838	0.00552257	0.00547979	0.00544244	0.00540682	0.00537147	0.00532666	0.00528726	0.0052373	0.00517203	0.00511492	0.00502616	0.00494425	0.00486564	0.00477036	0.00468079	0.00458877	0.00450088	0.00444395	0.00428707	0.00423326	0.00409272	0.00400141	0.00384837	0.00370778	0.00356836	0.00344045	0.0033177	0.00322976	0.00311019	0.00310671	0.00295047	0.00291545	0.00288145	0.00288678	0.00290157	0.00293999	0.00297893	0.00301429	0.00303861	0.00306289	0.00307676	0.00309571	0.00311121	0.00312711	0.00312959	0.00324028	0.00310235	0.00307466	0.00304009	0.00300278	0.00301472	0.00295433	0.00286519	0.00277243	0.0027299	0.00267206	0.0025407	0.00247903	0.00241733	0.00232055	0.00227005	0.00222351	0.00217664	0.00212565	0.00207798	0.00202993	0.00197928	0.00194557	0.00189215	0.00183853	0.00180576	0.00177958	0.00177023	0.00174484	0.00172112	0.00169553	0.00167078	0.00164689	0.00162193	0.00159662	0.0015743	0.00154791	0.00152322	0.00150056	0.00147791	0.00145672	0.0014333	0.00141077	0.0013888	0.00136898	0.00134788	0.00132824	0.00130664	0.00128669	0.00126734	0.0012473	0.00122802	0.00120884	0.00119188	0.00117221	0.00115365	0.00113677	0.00112027	0.00110474	0.00108847	0.00107273	0.00105616	0.00103984	0.00102189	0.00100638	0.00099041	0.00097491	0.00095898	0.0009452	0.00093181	0.00091701	0.00090431	0.00089205	0.00087861	0.00086402	0.00085054	0.00083778	0.00082564	0.00081357	0.00080031	0.00078777	0.00077524	0.00076402	0.0007512	0.00073922	0.00072851	0.00071599	0.00070467	0.00069442	0.00068396	0.00067369	0.00066412	0.00065284	0.00064253	0.00063262	0.00062277	0.00061318	0.00060334	0.00059451	0.00058481	0.00057661	0.00056694	0.0005578	0.00054873
