country_code	country	age	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
854	Burkina Faso	0	0.20104376	0.19986231	0.19867453	0.1974584	0.19621147	0.19492464	0.19359461	0.19223226	0.19084887	0.18953029	0.18824863	0.1870011	0.18580774	0.18468786	0.18364591	0.18267033	0.18175259	0.18086088	0.17993669	0.17913214	0.17768453	0.17639456	0.1741979	0.17189486	0.16890891	0.16557484	0.16200126	0.15833346	0.15474081	0.15145218	0.14823637	0.14583972	0.14282581	0.14053108	0.13825852	0.13619036	0.13419118	0.13247001	0.13103037	0.12985412	0.12898289	0.12835194	0.12779633	0.127248	0.12659465	0.12572286	0.12458024	0.12381261	0.12162532	0.11982163	0.11780913	0.11556163	0.11334957	0.11046996	0.10724659	0.10388078	0.10061623	0.09729388	0.09357061	0.09030296	0.08730874	0.08435487	0.08173372	0.07923284	0.07686129	0.07458151	0.07237729	0.07022471	0.06814031	0.06627959	0.06426817	0.06229506	0.06054765	0.05890219	0.0635022	0.06263967	0.06183318	0.06096756	0.06013969	0.05934421	0.05849068	0.05764283	0.05687637	0.05607092	0.05530575	0.05460674	0.05389094	0.0532576	0.05255064	0.05185607	0.05118383	0.05059805	0.04995582	0.04937861	0.04874474	0.04815329	0.04759466	0.04699405	0.04644268	0.04588274	0.04537783	0.04482508	0.04429071	0.04380914	0.04334532	0.04291341	0.04246962	0.04200938	0.0415535	0.04109448	0.04059015	0.0401612	0.03969206	0.03926988	0.03884746	0.03843538	0.03806623	0.03753566	0.03705807	0.03663699	0.03615847	0.03565772	0.03520036	0.03474958	0.03436021	0.03394312	0.03350397	0.03312025	0.03270918	0.03237594	0.03196332	0.03157839	0.03123557	0.03085246	0.03050036	0.03017166	0.02980549	0.0294499	0.02914397	0.02874058	0.02836789	0.02801094	0.02766763	0.02731218	0.02696781	0.0266584	0.02631981	0.02603955	0.02570032	0.02537731	0.02505786
854	Burkina Faso	1	0.15724191	0.15333775	0.15057567	0.14736502	0.14408514	0.14088155	0.13754164	0.13373284	0.13087203	0.12793503	0.1247561	0.12257324	0.1199075	0.11785046	0.1162919	0.11432426	0.11280133	0.11112858	0.10965169	0.10823756	0.10631703	0.10446282	0.10135765	0.09781505	0.09338231	0.08891737	0.08398778	0.07930504	0.07494086	0.07110073	0.06759856	0.06490107	0.06195527	0.0595432	0.05723397	0.05505721	0.05292978	0.0511263	0.04947287	0.04817511	0.04719016	0.04650107	0.04582941	0.04515293	0.04439999	0.04349713	0.0424542	0.04167832	0.03982682	0.03838051	0.0368598	0.03523926	0.03371347	0.03188957	0.02981067	0.02778828	0.02616057	0.02442392	0.02250471	0.02095339	0.01958089	0.01823467	0.01714362	0.01612267	0.01519915	0.01434121	0.01354642	0.01280429	0.01213742	0.01162628	0.01100077	0.01042404	0.00999761	0.0096278	0.01130408	0.01115192	0.01100895	0.01085401	0.01070522	0.01056131	0.01040806	0.01025578	0.01011714	0.00996557	0.00982155	0.00968864	0.00955231	0.00943187	0.00929569	0.00916105	0.00902971	0.00891342	0.00878602	0.00867243	0.00854531	0.00842495	0.00831316	0.00819056	0.00807592	0.00796235	0.00785521	0.00774206	0.0076281	0.00752701	0.00742469	0.00733124	0.0072354	0.0071357	0.00703255	0.00693221	0.00681903	0.0067229	0.00661972	0.00652404	0.00642325	0.00633006	0.00624412	0.00613153	0.00603297	0.00594312	0.00584334	0.00573395	0.00563647	0.0055337	0.00544628	0.00535368	0.00525674	0.00516235	0.00506924	0.0049883	0.0048936	0.00480335	0.00471911	0.00462067	0.00453409	0.00445063	0.00436049	0.00427157	0.00419121	0.00409316	0.00400845	0.00392162	0.0038419	0.00375865	0.00367309	0.00359802	0.0035171	0.00344601	0.00335958	0.00328083	0.00319767
854	Burkina Faso	2	0.08656505	0.08470832	0.08347173	0.08198297	0.0804531	0.07896038	0.07741725	0.07560738	0.07430755	0.07289093	0.07128354	0.07017	0.06871133	0.06754719	0.06664949	0.06548303	0.06456326	0.06354883	0.06264877	0.06180277	0.0605629	0.05946279	0.05764563	0.05570153	0.0532052	0.05072379	0.04801402	0.04546818	0.04309578	0.04101803	0.03908193	0.03763528	0.03594644	0.03466884	0.03348426	0.03244881	0.03147902	0.03070949	0.03000118	0.02947487	0.02908607	0.02884498	0.02859968	0.02836002	0.02806784	0.02769448	0.02722811	0.02697703	0.02592394	0.02516499	0.02434152	0.02344239	0.02260546	0.02153936	0.02028749	0.01906341	0.01808768	0.01701528	0.01579637	0.01482898	0.01397034	0.01310344	0.0124095	0.01176625	0.01117743	0.01062157	0.01010027	0.0096105	0.00915284	0.00878902	0.00834806	0.00794317	0.00763161	0.00735631	0.00852569	0.00841376	0.00830873	0.00819467	0.00808524	0.00797949	0.007867	0.00775519	0.00765367	0.00754153	0.00743511	0.0073371	0.00723648	0.00714788	0.00704737	0.00694803	0.00685117	0.00676568	0.00667181	0.00658834	0.00649466	0.00640612	0.00632399	0.0062336	0.00614925	0.00606573	0.00598698	0.00590373	0.00581983	0.00574564	0.00567049	0.0056021	0.00553186	0.00545876	0.00538291	0.00530927	0.00522582	0.00515538	0.00507951	0.00500937	0.00493521	0.00486715	0.00480448	0.00472253	0.00465116	0.00458609	0.00451359	0.00443357	0.00436264	0.00428754	0.00422389	0.00415645	0.00408585	0.00401662	0.00394851	0.0038895	0.00382026	0.00375411	0.00369258	0.00362006	0.00355654	0.00349539	0.0034292	0.00336387	0.00330467	0.00323167	0.00316871	0.00310361	0.00304411	0.00298217	0.00291775	0.00286159	0.00280113	0.00274793	0.00268265	0.00262356	0.00256047
854	Burkina Faso	3	0.04849141	0.04760719	0.04706684	0.04638353	0.0456767	0.04498923	0.04428841	0.04343505	0.04286214	0.0421829	0.04136502	0.04079279	0.03998226	0.03931327	0.0387887	0.0380888	0.03752796	0.03690724	0.0363543	0.03585446	0.03504718	0.03440107	0.03331243	0.03223614	0.03080504	0.02940394	0.02789209	0.02648801	0.02517991	0.02404536	0.02295435	0.02219032	0.02118678	0.02050748	0.01989567	0.01941668	0.01899686	0.01870783	0.01844379	0.01827246	0.0181581	0.01811777	0.01806562	0.01802426	0.01794988	0.01783151	0.01765259	0.01766444	0.01704588	0.01666227	0.01622743	0.01573797	0.01530177	0.01468071	0.01392459	0.0131826	0.01260787	0.01195419	0.01117018	0.0105718	0.01003924	0.00947708	0.0090397	0.00863808	0.00826673	0.00791	0.00757136	0.00725031	0.00693785	0.00668932	0.00637711	0.00608994	0.00587153	0.00567853	0.00646344	0.00638062	0.00630302	0.00621859	0.00613767	0.00605953	0.00597652	0.00589399	0.00581926	0.00573585	0.00565679	0.00558411	0.00550945	0.00544393	0.00536937	0.00529569	0.0052239	0.00516074	0.00509123	0.0050296	0.00496023	0.00489478	0.00483415	0.00476722	0.0047049	0.00464319	0.00458507	0.00452355	0.00446154	0.00440687	0.00435147	0.00430123	0.00424956	0.00419576	0.0041398	0.00408557	0.00402383	0.00397204	0.00391604	0.00386445	0.00380975	0.0037599	0.00371408	0.00365432	0.00360257	0.00355537	0.0035026	0.00344397	0.00339227	0.00333734	0.00329094	0.00324176	0.00319028	0.00313947	0.00308958	0.00304653	0.00299586	0.00294731	0.00290234	0.0028489	0.00280227	0.00275745	0.00270881	0.00266078	0.00261715	0.00256275	0.00251588	0.00246703	0.00242254	0.00237639	0.00232785	0.00228579	0.00224056	0.00220071	0.00215137	0.00210698	0.00205912
854	Burkina Faso	4	0.02813015	0.02769837	0.02746476	0.02714786	0.02681763	0.02649843	0.02618013	0.02577244	0.02552531	0.02519473	0.02476667	0.02446405	0.02399847	0.02360193	0.02328634	0.02285535	0.02250542	0.02211697	0.0217699	0.02147302	0.02093865	0.02055716	0.01988256	0.01927173	0.01842439	0.01760815	0.01673788	0.01593868	0.01519422	0.0145578	0.01392081	0.01351745	0.01289304	0.01252365	0.01219875	0.01198127	0.0118106	0.0117295	0.01165914	0.0116372	0.01163697	0.01167489	0.01169986	0.01173704	0.01175425	0.01174788	0.01170207	0.01182349	0.01144466	0.01125778	0.01103221	0.01076808	0.01055223	0.01018731	0.00972404	0.00926873	0.00893209	0.00853307	0.00801969	0.0076481	0.00731688	0.00694776	0.00667165	0.00642113	0.00618742	0.00595859	0.00573867	0.00552803	0.00531388	0.00514605	0.00492315	0.00471737	0.00456577	0.00443272	0.00495125	0.00488916	0.00483105	0.00476772	0.00470708	0.00464858	0.00458653	0.00452484	0.00446912	0.00440627	0.00434676	0.00429217	0.00423606	0.00418695	0.00413092	0.00407557	0.00402169	0.00397443	0.00392231	0.00387621	0.0038242	0.00377522	0.00372989	0.00367973	0.00363313	0.00358698	0.00354358	0.00349757	0.00345121	0.00341044	0.00336915	0.00333181	0.00329335	0.0032533	0.00321156	0.00317117	0.003125	0.0030865	0.00304472	0.00300636	0.00296559	0.0029287	0.00289485	0.00285092	0.00281307	0.00277854	0.0027398	0.00269652	0.00265852	0.00261805	0.00258396	0.00254781	0.00250997	0.00247244	0.00243561	0.00240398	0.00236661	0.00233073	0.00229763	0.00225801	0.00222354	0.00219048	0.00215448	0.00211894	0.00208658	0.00204582	0.00201068	0.00197385	0.00194038	0.00190578	0.00186905	0.00183737	0.00180333	0.00177333	0.00173591	0.00170239	0.00166596
854	Burkina Faso	5	0.01721529	0.01699226	0.01689006	0.01673697	0.01657612	0.01642219	0.01627358	0.01607015	0.0159642	0.01579598	0.01555926	0.0153903	0.0151085	0.014862	0.01466346	0.01438698	0.01416025	0.01390794	0.01368205	0.01350136	0.01313787	0.01290767	0.01247057	0.01210891	0.01158292	0.01108434	0.01055844	0.01008027	0.00963472	0.00926067	0.00886884	0.00865205	0.00824158	0.00803154	0.00784962	0.00775126	0.00768803	0.00768876	0.00769464	0.00772731	0.00776702	0.00782761	0.00787649	0.00793696	0.0079854	0.00802133	0.008031	0.00818376	0.00793851	0.00785049	0.00773387	0.00759007	0.00748956	0.00726943	0.00697693	0.00668969	0.00649032	0.0062424	0.00589667	0.00566145	0.00545176	0.00520372	0.00502667	0.00486845	0.00471969	0.00457105	0.00442644	0.00428652	0.00413768	0.00402362	0.00386209	0.00371241	0.00360639	0.00351423	0.00385589	0.00380828	0.00376378	0.00371522	0.00366875	0.00362396	0.00357657	0.00352944	0.00348696	0.00343858	0.0033928	0.00335087	0.00330776	0.00327011	0.00322708	0.0031846	0.00314326	0.0031071	0.00306716	0.0030319	0.00299206	0.0029546	0.00291996	0.00288157	0.00284598	0.00281071	0.00277762	0.00274246	0.00270708	0.00267602	0.0026446	0.00261624	0.002587	0.00255654	0.00252479	0.00249407	0.00245888	0.00242964	0.00239784	0.00236872	0.00233777	0.00230991	0.0022844	0.00225155	0.00222338	0.00219768	0.00216874	0.00213629	0.00210788	0.00207761	0.00205213	0.00202512	0.00199684	0.00196872	0.00194109	0.00191748	0.00188948	0.00186253	0.00183779	0.00180802	0.00178215	0.00175739	0.00173035	0.00170365	0.00167931	0.00164841	0.00162173	0.00159368	0.00156819	0.00154193	0.00151389	0.00148975	0.00146384	0.00144101	0.00141239	0.0013868	0.00135887
854	Burkina Faso	6	0.01129469	0.01116864	0.01112176	0.01104162	0.01095669	0.0108765	0.01080226	0.01069215	0.01064576	0.01055299	0.0104109	0.01030875	0.010126	0.00996292	0.00983047	0.00964314	0.0094885	0.00931603	0.00916145	0.00904721	0.00878966	0.00864606	0.00834642	0.00811968	0.00777266	0.00744876	0.00711002	0.00680438	0.00651931	0.00628495	0.00602716	0.00590723	0.00561909	0.00549167	0.00538144	0.00533609	0.00531658	0.00534478	0.00537583	0.00542292	0.00547137	0.0055324	0.00558334	0.00564451	0.00569825	0.00574531	0.00577405	0.00592561	0.00575378	0.00571326	0.00565154	0.00557034	0.0055283	0.00538874	0.00519453	0.00500443	0.00488305	0.00472378	0.00448048	0.00432607	0.00418847	0.00401503	0.00389765	0.00379449	0.00369692	0.0035974	0.00349951	0.0034039	0.00329781	0.00321916	0.00309928	0.00298781	0.00291256	0.00284809	0.00307429	0.00303672	0.00300161	0.0029633	0.00292665	0.00289133	0.00285402	0.0028169	0.00278348	0.00274516	0.00270891	0.00267575	0.00264164	0.00261188	0.00257785	0.00254427	0.00251161	0.00248309	0.00245156	0.00242373	0.0023923	0.00236277	0.00233546	0.00230521	0.0022772	0.00224941	0.00222341	0.00219572	0.00216791	0.00214349	0.00211885	0.00209661	0.00207366	0.00204976	0.00202489	0.00200079	0.00197319	0.00195029	0.00192533	0.00190254	0.00187834	0.00185661	0.00183673	0.00181137	0.00178965	0.00176986	0.00174751	0.00172242	0.00170047	0.00167714	0.00165748	0.00163663	0.00161481	0.00159314	0.00157177	0.00155359	0.00153196	0.00151112	0.00149206	0.0014691	0.00144911	0.00143002	0.00140913	0.00138851	0.00136969	0.00134574	0.00132499	0.00130322	0.00128336	0.00126296	0.00124117	0.0012224	0.00120224	0.00118451	0.00116227	0.00114234	0.00112062
854	Burkina Faso	7	0.00804459	0.00796398	0.00793973	0.00789189	0.0078408	0.00779323	0.00775102	0.00768334	0.00766101	0.00760323	0.00750837	0.00744	0.00731129	0.00719512	0.00710035	0.00696476	0.00685246	0.00672696	0.00661447	0.00653927	0.00634635	0.00625373	0.00603362	0.00588159	0.00563536	0.00540891	0.00517348	0.00496205	0.00476446	0.00460592	0.00442212	0.00435462	0.00413562	0.00405187	0.00397773	0.00395521	0.00395141	0.00398513	0.00402061	0.00406669	0.0041122	0.00416641	0.0042117	0.00426585	0.00431511	0.00436084	0.0043927	0.0045344	0.00439987	0.0043806	0.00434538	0.00429568	0.00428316	0.00418758	0.00404873	0.00391355	0.00383656	0.00372909	0.00354681	0.00343985	0.00334433	0.00321552	0.00313335	0.00306217	0.00299461	0.00292443	0.00285483	0.00278635	0.00270781	0.00265221	0.00256029	0.0024746	0.0024199	0.00237409	0.00252518	0.00249433	0.00246549	0.00243404	0.00240397	0.002375	0.00234444	0.00231404	0.00228668	0.00225514	0.0022253	0.00219799	0.00216993	0.00214542	0.00211744	0.00208983	0.002063	0.00203957	0.00201368	0.00199081	0.00196502	0.0019408	0.00191837	0.00189359	0.00187066	0.00184787	0.00182661	0.00180392	0.00178119	0.00176121	0.00174111	0.00172292	0.00170417	0.00168465	0.00166439	0.00164471	0.00162223	0.00160356	0.0015832	0.00156463	0.00154499	0.00152733	0.00151121	0.00149092	0.00147353	0.00145768	0.00143977	0.0014197	0.00140211	0.00138349	0.00136774	0.00135105	0.00133359	0.00131631	0.00129919	0.00128466	0.00126734	0.00125065	0.00123543	0.00121713	0.00120114	0.0011859	0.00116919	0.0011527	0.00113766	0.00111857	0.00110196	0.00108463	0.00106873	0.00105242	0.0010351	0.00102009	0.00100398	0.00098984	0.00097218	0.00095625	0.000939
854	Burkina Faso	8	0.00622941	0.00617042	0.00615509	0.00612154	0.00608554	0.00605233	0.00602364	0.00597527	0.00596206	0.00592058	0.00584973	0.00579879	0.00570013	0.00561078	0.00553783	0.00543265	0.00534546	0.00524785	0.00516042	0.00510819	0.00495522	0.00489292	0.00471993	0.00461021	0.00442206	0.00425129	0.00407425	0.00391552	0.00376675	0.00365026	0.00350829	0.00346939	0.00329067	0.00323041	0.00317479	0.00316167	0.00316219	0.0031937	0.00322629	0.00326673	0.00330613	0.00335238	0.00339053	0.00343633	0.00347861	0.00351906	0.00354811	0.00367812	0.00356275	0.00355207	0.00352907	0.00349476	0.00349634	0.00342472	0.00331705	0.00321289	0.00316084	0.00308324	0.00293758	0.00285822	0.00278695	0.00268481	0.00262313	0.00257017	0.00251983	0.00246686	0.00241405	0.00236188	0.00230088	0.00225965	0.00218639	0.00211807	0.00207653	0.00204271	0.00214644	0.00212002	0.0020953	0.00206838	0.00204263	0.00201783	0.00199174	0.00196577	0.0019424	0.00191534	0.00188973	0.00186629	0.00184221	0.00182113	0.00179715	0.00177349	0.00175049	0.0017304	0.00170823	0.00168861	0.00166655	0.00164583	0.00162661	0.00160545	0.00158586	0.00156637	0.00154823	0.00152883	0.00150947	0.0014924	0.00147528	0.00145975	0.00144375	0.0014271	0.0014099	0.00139313	0.00137406	0.00135817	0.00134085	0.00132506	0.00130845	0.00129349	0.00127983	0.00126293	0.00124842	0.00123519	0.00122022	0.00120353	0.00118884	0.00117338	0.00116025	0.00114633	0.00113177	0.00111745	0.00110316	0.00109107	0.00107664	0.00106273	0.00105007	0.00103492	0.00102162	0.00100895	0.00099505	0.00098134	0.00096883	0.00095309	0.00093932	0.00092509	0.00091192	0.00089842	0.00088422	0.00087182	0.0008585	0.00084685	0.00083239	0.00081924	0.00080515
854	Burkina Faso	9	0.0052301	0.00518099	0.00516854	0.0051408	0.00511102	0.0050836	0.00505994	0.00501976	0.00500915	0.00497485	0.00491591	0.00487379	0.00479168	0.00471755	0.00465716	0.00456965	0.00449722	0.004416	0.00434334	0.00430348	0.00417626	0.00413095	0.00398718	0.00390101	0.00374686	0.00360819	0.00346422	0.00333501	0.0032135	0.00311981	0.00300195	0.00297655	0.0028233	0.00277514	0.00272906	0.00271904	0.00271948	0.00274651	0.0027741	0.00280821	0.00284136	0.00288047	0.00291219	0.00295052	0.00298598	0.0030204	0.00304499	0.00316165	0.00305844	0.00305031	0.00303222	0.0030048	0.00301104	0.0029523	0.00286228	0.00277567	0.00273655	0.00267515	0.00255211	0.00248803	0.00243012	0.00234421	0.00229402	0.00225098	0.00221008	0.00216679	0.00212354	0.0020808	0.00203064	0.00199771	0.0019367	0.0018799	0.00184621	0.00181941	0.001895	0.00187137	0.00184924	0.0018252	0.0018022	0.00178004	0.00175679	0.00173365	0.0017128	0.00168861	0.00166568	0.00164467	0.00162311	0.0016042	0.00158275	0.0015616	0.00154105	0.00152308	0.00150328	0.00148571	0.00146603	0.00144754	0.00143036	0.0014115	0.00139405	0.00137665	0.0013605	0.00134321	0.001326	0.00131078	0.00129559	0.00128174	0.00126749	0.00125266	0.00123743	0.00122252	0.00120567	0.00119155	0.00117619	0.00116218	0.00114754	0.00113431	0.00112223	0.00110757	0.00109493	0.0010834	0.00107036	0.0010559	0.00104312	0.00102974	0.00101831	0.0010062	0.00099355	0.00098118	0.00096876	0.00095825	0.00094572	0.00093364	0.00092265	0.00090961	0.00089807	0.00088709	0.00087504	0.00086316	0.00085233	0.00083885	0.00082696	0.00081484	0.00080349	0.00079188	0.00077979	0.00076914	0.0007577	0.00074772	0.00073545	0.00072417	0.00071224
